Runs Generation Count Mean: 34
Runs Generation Count Mode: 50 occurred (4) time(s)
GEN#	SUB#	μFGEN	FsBestGEN	FsWorstGEN	μTreeSzGEN	μTreeDpGEN	bTreeSzGEN	bTreeDpGEN	wTreeSzGEN	wTreeDpGEN	μFRUN	FsBestRUN	FsWorstRUN	μTreeSzRUN	μTreeDpRUN	bTreeSzRUN	bTreeDpRUN	wTreeSzRUN	wTreeDpRUN
0	0	0	0.00011	0	12.9823	3.6655	14	4	23	5	0	0.00011	0	12.9823	3.6655	14	4	23	5
1	0	0	0.00013	0	12.2965	3.8626	13	4	17	5	0	0.00013	0	12.6393	3.7639	13	4	25	6
2	0	0	0.00014	0	12.2801	4.0114	19	5	14	6	0	0.00014	0	12.5195	3.8466	19	5	24	5
3	0	0	0.00017	0	12.3125	4.1486	19	6	18	6	0	0.00017	0	12.4678	3.922	19	6	24	5
4	0	0	0.00019	0	12.4494	4.2718	27	7	15	5	0	0.00019	0	12.4641	3.992	27	7	24	5
5	0	0	0.00025	0	12.617	4.4067	27	7	15	6	0	0.00025	0	12.4897	4.061	27	7	22	5
6	0	1e-05	0.00031	0	13.0127	4.5872	24	6	17	6	0	0.00031	0	12.5644	4.1363	24	6	22	5
7	0	1e-05	0.00038	0	13.7013	4.8495	24	7	13	5	0	0.00038	0	12.7064	4.2253	24	7	22	5
8	0	1e-05	0.00061	0	14.6523	5.155	20	6	18	6	1e-05	0.00061	0	12.9227	4.3288	20	6	22	5
9	0	2e-05	0.00086	0	16.0873	5.533	21	7	31	9	1e-05	0.00086	0	13.2392	4.4491	21	7	22	5
10	0	5e-05	0.0026	0	18.1309	5.9757	23	7	34	8	1e-05	0.0026	0	13.6837	4.5878	23	7	22	5
11	0	9e-05	0.00264	0	20.9214	6.5825	30	8	35	9	1e-05	0.00264	0	14.2869	4.7541	30	8	22	5
12	0	0.0002	0.10095	0	24.4841	7.3012	32	8	42	10	3e-05	0.10095	0	15.0713	4.9501	32	8	22	5
13	0	0.0001	0.00256	0	26.183	7.3261	32	9	38	9	3e-05	0.00256	0	14.6489	4.6999	32	9	20	4
14	0	0.00016	0.01114	0	29.5972	7.9847	31	8	26	7	6e-05	0.01114	0	15.6456	4.9189	31	8	20	4
15	0	0.00026	0.01266	0	32.5116	8.5006	33	8	39	10	7e-05	0.01266	0	16.6995	5.1428	33	8	20	4
16	0	0.00065	0.03394	0	34.9656	8.8272	32	8	51	11	0.00011	0.03394	0	17.774	5.3597	32	8	20	4
