Runs Generation Count Mean: 51
Runs Generation Count Mode: 51 occurred (10) time(s)
GEN#	SUB#	μFGEN	FsBestGEN	FsWorstGEN	μTreeSzGEN	μTreeDpGEN	bTreeSzGEN	bTreeDpGEN	wTreeSzGEN	wTreeDpGEN	μFRUN	FsBestRUN	FsWorstRUN	μTreeSzRUN	μTreeDpRUN	bTreeSzRUN	bTreeDpRUN	wTreeSzRUN	wTreeDpRUN
0	0	0.95879	0.99865	0	18.332	3.4676	34	4	44	5	0.95879	0.99865	0	18.332	3.4676	34	4	44	5
1	0	0.99069	0.99872	0	16.2936	3.5245	23	4	40	6	0.97475	0.99872	0	17.3127	3.4962	23	4	44	5
2	0	0.99159	0.99877	0	15.6485	3.5791	31	5	45	6	0.98037	0.99877	0	16.7578	3.5238	31	5	44	5
3	0	0.99245	0.99877	0	14.9698	3.5995	31	5	39	6	0.98338	0.99877	0	16.311	3.5427	31	5	44	5
4	0	0.99336	0.99877	0	14.1793	3.5815	27	5	47	7	0.98538	0.99877	0	15.8845	3.5504	27	5	44	5
5	0	0.99412	0.99879	0	13.5692	3.5507	28	5	44	7	0.98685	0.99879	0	15.4987	3.5505	28	5	44	5
6	0	0.99405	0.99879	0	12.9283	3.5068	26	5	32	7	0.98789	0.99879	0	15.1314	3.5441	26	5	44	5
7	0	0.99492	0.99881	0	12.2441	3.4185	29	5	32	7	0.98876	0.99881	0	14.7706	3.5286	29	5	44	5
8	0	0.99514	0.99882	0	11.6901	3.3629	27	5	46	9	0.98947	0.99882	0	14.4283	3.5101	27	5	44	5
9	0	0.99545	0.99882	0	11.0893	3.2931	27	5	37	7	0.99006	0.99882	0	14.0945	3.4882	27	5	44	5
10	0	0.99552	0.99882	0	10.6196	3.2382	26	5	38	7	0.99057	0.99882	0	13.7785	3.4655	26	5	44	5
11	0	0.99583	0.99882	0	10.218	3.1889	26	5	36	7	0.99101	0.99882	0	13.4817	3.4426	26	5	44	5
