Run	Remaining Subpopulations
0	10
1	10
2	10
3	10
4	10
5	7
6	7
7	7
8	7
9	7
10	5
11	5
12	5
13	5
14	5
15	3
16	3
17	3
18	3
19	3
20	2
21	2
22	2
23	2
24	2
Timer Name	Value
CPU Time (ns):	103458584344
Wall Time (ms):	4883
CPU Cycles:	77480303365448520
Snapshot #	Snapshot Time(ms)	Value(Bytes)
1	6	325390336
2	305	344604672
3	537	352976896
4	767	357990400
5	977	367431680
6	1199	375902208
7	1413	381067264
8	1621	385622016
9	1802	390356992
10	1968	396890112
11	2097	403206144
12	2367	287698944
13	2488	290922496
14	2597	295067648
15	2708	298225664
16	2809	302002176
17	2912	306515968
18	3008	309760000
19	3099	313638912
20	3183	317530112
21	3246	320180224
22	3468	231022592
23	3539	233766912
24	3599	236609536
25	3664	240349184
26	3718	243736576
27	3773	246452224
28	3831	250060800
29	3890	252071936
30	3938	253648896
31	3982	253501440
32	4098	152510464
33	4136	153620480
34	4174	154771456
35	4212	155873280
36	4254	157175808
37	4294	158789632
38	4329	159866880
39	4365	161116160
40	4401	162000896
41	4436	162906112
42	4511	109768704
43	4544	110272512
44	4573	110456832
45	4604	111132672
46	4635	112242688
47	4663	112295936
48	4692	114012160
49	4724	115171328
50	4752	116072448
51	4785	116953088
Aggregation Count:	10
Timer Name	Value
CPU Time (ns):	10345858434
Wall Time (ms):	3569
CPU Cycles:	7748030336544852
Snapshot #	Snapshot Time(ms)	Value(Bytes)
1	6	32539033
2	305	34460467
3	537	35297689
4	767	35799040
5	977	36743168
6	1199	37590220
7	1413	38106726
8	1621	38562201
9	1802	39035699
10	1968	39689011
11	2097	40320614
12	2367	41099849
13	2488	41560356
14	2597	42152521
15	2708	42603666
16	2809	43143168
17	2912	43787995
18	3008	44251428
19	3099	44805558
20	3183	45361444
21	3246	45740032
22	3468	46204518
23	3539	46753382
24	3599	47321907
25	3664	48069836
26	3718	48747315
27	3773	49290444
28	3831	50012160
29	3890	50414387
30	3938	50729779
31	3982	50700288
32	4098	50836821
33	4136	51206826
34	4174	51590485
35	4212	51957760
36	4254	52391936
37	4294	52929877
38	4329	53288960
39	4365	53705386
40	4401	54000298
41	4436	54302037
42	4511	54884352
43	4544	55136256
44	4573	55228416
45	4604	55566336
46	4635	56121344
47	4663	56147968
48	4692	57006080
49	4724	57585664
50	4752	58036224
51	4785	58476544
Hits	Total
2250	2810
Percent Hit:	80.0712%
Fitness
0.998714
Real|Predicted
Cammeo|Cammeo	Cammeo|Osmancik	Osmancik|Osmancik	Osmancik|Cammeo
784	347	1466	212
GEN#	SUB#	μFGEN	FsBestGEN	FsWorstGEN	μTreeSzGEN	μTreeDpGEN	bTreeSzGEN	bTreeDpGEN	wTreeSzGEN	wTreeDpGEN	μFRUN	FsBestRUN	FsWorstRUN	μTreeSzRUN	μTreeDpRUN	bTreeSzRUN	bTreeDpRUN	wTreeSzRUN	wTreeDpRUN
0	0	0.95772	0.99844	0	17.6318	3.3337	39	5	54	5	0.95772	0.99844	0	17.6318	3.3337	39	5	54	5
1	0	0.99137	0.99845	0	16.1206	3.4087	39	5	39	6	0.97457	0.99845	0	16.8762	3.3712	39	5	54	5
2	0	0.99017	0.9985	0	15.4151	3.476	37	5	53	6	0.97975	0.9985	0	16.3893	3.4062	37	5	54	5
3	0	0.99287	0.99853	0.0997	14.739	3.5407	27	4	30	6	0.98303	0.99853	0	15.9768	3.4399	27	4	54	5
4	0	0.99413	0.99855	0	14.0916	3.5449	24	4	29	5	0.98526	0.99855	0	15.5995	3.4607	24	4	54	5
5	0	0.99462	0.99858	0.09968	13.3194	3.4952	24	4	26	5	0.98681	0.99858	0	15.2196	3.4664	24	4	54	5
6	0	0.99387	0.99862	0	13.0581	3.4865	32	5	44	8	0.98783	0.99862	0	14.9107	3.4694	32	5	54	5
7	0	0.99488	0.99865	0	12.8089	3.4979	39	6	32	6	0.98873	0.99865	0	14.6482	3.4729	39	6	54	5
8	0	0.995	0.99865	0.09956	12.5514	3.484	39	6	47	8	0.9894	0.99865	0	14.4151	3.4743	39	6	54	5
9	0	0.99599	0.99866	0.19925	12.0267	3.4446	37	7	33	7	0.99007	0.99866	0	14.1763	3.4711	37	7	54	5
10	0	0.69648	0.69911	0.09976	8.3787	2.4414	32	5	14	3	0.69328	0.69911	0	10.0158	2.469	32	5	42	4
11	0	0.69671	0.69911	0.09976	7.9461	2.3763	32	5	25	5	0.69358	0.69911	0	9.8432	2.4613	32	5	42	4
12	0	0.69698	0.69911	0.19936	7.7969	2.357	32	5	27	5	0.69383	0.69911	0	9.6859	2.4531	32	5	42	4
13	0	0.69698	0.69911	0.19953	7.3372	2.2772	32	5	19	5	0.69406	0.69911	0	9.518	2.4405	32	5	42	4
14	0	0.69685	0.69911	0.19954	7.0912	2.2297	32	5	12	4	0.69425	0.69911	0	9.3562	2.4266	32	5	42	4
15	0	0.6971	0.69911	0.19931	6.9264	2.2297	32	5	17	4	0.69441	0.69911	0	9.2045	2.4142	32	5	42	4
16	0	0.69772	0.69911	0.19931	6.6462	2.1737	32	5	14	4	0.69461	0.69911	0	9.054	2.4001	32	5	42	4
17	0	0.69755	0.69911	0.14783	6.4678	2.116	31	5	20	5	0.69479	0.69911	0	8.9103	2.3843	31	5	42	4
18	0	0.69773	0.69914	0.29709	6.2801	2.0711	35	6	19	4	0.69494	0.69914	0	8.7718	2.368	35	6	42	4
19	0	0.69785	0.69914	0.29881	6.0108	2.0175	35	6	17	5	0.69509	0.69914	0	8.6338	2.3503	35	6	42	4
20	0	0.498	0.4994	0.19927	4.2602	1.4211	19	4	13	3	0.49654	0.4994	0	6.348	1.7073	19	4	26	2
21	0	0.49875	0.4994	0.29924	4.1753	1.4088	18	4	15	2	0.49665	0.4994	0	6.2494	1.6937	18	4	26	2
22	0	0.49836	0.4994	0.19927	3.9841	1.3669	18	4	10	2	0.49671	0.4994	0	6.1509	1.6795	18	4	26	2
23	0	0.49837	0.4994	0.0998	3.8732	1.3293	18	4	10	2	0.49678	0.4994	0	6.0559	1.6649	18	4	26	2
24	0	0.49812	0.49942	0	3.8479	1.3222	17	4	12	3	0.49684	0.49942	0	5.9676	1.6513	17	4	26	2
25	0	0.49862	0.49942	0.19938	3.6953	1.2812	17	4	13	3	0.49692	0.49942	0	5.8802	1.637	17	4	26	2
26	0	0.49824	0.49942	0.09919	3.4912	1.2341	17	4	9	3	0.49695	0.49942	0	5.7918	1.622	17	4	26	2
27	0	0.49875	0.49942	0.29896	3.4538	1.2173	17	4	11	3	0.49702	0.49942	0	5.7083	1.6075	17	4	26	2
28	0	0.49862	0.49942	0.1996	3.3231	1.1871	17	4	7	2	0.49708	0.49942	0	5.6261	1.5932	17	4	26	2
29	0	0.499	0.49942	0.49863	3.1815	1.1398	17	4	5	1	0.49713	0.49942	0	5.5445	1.5781	17	4	26	2
30	0	0.2994	0.29966	0.29937	1.8141	0.6745	10	2	1	0	0.2984	0.29966	0	3.0684	0.9026	10	2	19	1
31	0	0.29928	0.29966	0.19958	1.7663	0.6675	6	1	2	0	0.29843	0.29966	0	3.0277	0.8953	6	1	19	1
32	0	0.29903	0.29966	0	1.7537	0.6637	6	1	5	1	0.29846	0.29966	0	2.9891	0.8883	6	1	19	1
33	0	0.29928	0.29966	0.19947	1.7066	0.649	6	1	4	1	0.29848	0.29966	0	2.9515	0.8812	6	1	19	1
34	0	0.29927	0.29966	0.19891	1.6792	0.6359	6	1	2	1	0.2985	0.29966	0	2.9152	0.8742	6	1	19	1
35	0	0.29928	0.29966	0.19959	1.713	0.6476	6	1	1	0	0.29853	0.29966	0	2.8817	0.868	6	1	19	1
36	0	0.29902	0.29966	0	1.6783	0.6379	6	1	7	2	0.29853	0.29966	0	2.8492	0.8617	6	1	19	1
37	0	0.2989	0.29966	0	1.6592	0.6331	6	1	10	2	0.29854	0.29966	0	2.8178	0.8556	6	1	19	1
38	0	0.29928	0.29966	0.19951	1.6186	0.6198	6	1	2	1	0.29856	0.29966	0	2.7871	0.8496	6	1	19	1
39	0	0.29927	0.29966	0.1995	1.635	0.6288	6	1	2	1	0.29859	0.29966	0	2.7583	0.8441	6	1	19	1
40	0	0.1996	0.19978	0.19956	1.05	0.4119	4	1	1	0	0.19906	0.19978	0	1.8547	0.5775	4	1	11	1
41	0	0.19948	0.19978	0.0998	1.013	0.4001	4	1	2	0	0.19908	0.19978	0	1.8346	0.5733	4	1	11	1
42	0	0.19935	0.19978	0	1.0068	0.3937	4	1	2	0	0.19908	0.19978	0	1.8154	0.5691	4	1	11	1
43	0	0.1996	0.19978	0.19947	0.9569	0.3768	4	1	1	0	0.1991	0.19978	0	1.7959	0.5647	4	1	11	1
44	0	0.19947	0.19978	0.09979	0.9516	0.3716	4	1	1	0	0.1991	0.19978	0	1.7771	0.5605	4	1	11	1
45	0	0.1996	0.19978	0.19956	0.9591	0.3698	4	1	1	0	0.19911	0.19978	0	1.7593	0.5563	4	1	11	1
46	0	0.19935	0.19978	0	0.9329	0.3589	4	1	3	1	0.19911	0.19978	0	1.7417	0.5521	4	1	11	1
47	0	0.19936	0.19978	0.09976	0.9395	0.3653	4	1	2	0	0.19912	0.19978	0	1.725	0.5482	4	1	11	1
48	0	0.19961	0.19978	0.19953	0.9423	0.3688	4	1	2	0	0.19913	0.19978	0	1.7091	0.5445	4	1	11	1
49	0	0.19961	0.19978	0.19953	0.9443	0.3683	4	1	1	0	0.19915	0.19978	0	1.6937	0.541	4	1	11	1
50	0	0.09967	0.09989	0	0.4989	0.1929	1	0	0	0	0.0996	0.09989	0	0.8867	0.2837	1	0	7	0
