Run	Remaining Subpopulations
0	10
1	10
2	10
3	10
4	10
5	7
6	7
7	7
8	7
9	7
10	5
11	5
12	5
13	5
14	5
15	3
16	3
17	3
18	3
19	3
20	2
21	2
22	2
23	2
24	2
Timer Name	Value
CPU Time (ns):	17828806769
Wall Time (ms):	4735
CPU Cycles:	7759290895037878
Snapshot #	Snapshot Time(ms)	Value(Bytes)
1	6	32497664
2	258	34271232
3	482	34824192
4	698	35516416
5	857	35414016
6	1051	36016128
7	1243	36712448
8	1444	37216256
9	1581	38178816
10	1733	39493632
11	1881	40345600
12	2123	40624128
13	2226	41406464
14	2350	41877504
15	2449	42684416
16	2560	43433984
17	2676	43798528
18	2782	45318144
19	2881	45846528
20	2950	46235648
21	3006	46694400
22	3123	47316992
23	3216	48066560
24	3294	48783360
25	3383	49426432
26	3485	49938432
27	3546	50683904
28	3596	50446336
29	3637	51544064
30	3678	52391936
31	3727	52142080
32	3807	52838400
33	3863	53268480
34	3913	53563392
35	3956	53915648
36	3999	54312960
37	4042	54571008
38	4086	55136256
39	4124	56049664
40	4163	56369152
41	4203	57049088
42	4264	58056704
43	4305	58658816
44	4343	58187776
45	4388	59232256
46	4435	59371520
47	4479	59600896
48	4517	59932672
49	4556	60989440
50	4593	60993536
51	4631	61485056
Aggregation Count:	1
Timer Name	Value
CPU Time (ns):	17828806769
Wall Time (ms):	4681
CPU Cycles:	7759290895037878
Snapshot #	Snapshot Time(ms)	Value(Bytes)
1	6	32497664
2	258	34271232
3	482	34824192
4	698	35516416
5	857	35414016
6	1051	36016128
7	1243	36712448
8	1444	37216256
9	1581	38178816
10	1733	39493632
11	1881	40345600
12	2123	40624128
13	2226	41406464
14	2350	41877504
15	2449	42684416
16	2560	43433984
17	2676	43798528
18	2782	45318144
19	2881	45846528
20	2950	46235648
21	3006	46694400
22	3123	47316992
23	3216	48066560
24	3294	48783360
25	3383	49426432
26	3485	49938432
27	3546	50683904
28	3596	50446336
29	3637	51544064
30	3678	52391936
31	3727	52142080
32	3807	52838400
33	3863	53268480
34	3913	53563392
35	3956	53915648
36	3999	54312960
37	4042	54571008
38	4086	55136256
39	4124	56049664
40	4163	56369152
41	4203	57049088
42	4264	58056704
43	4305	58658816
44	4343	58187776
45	4388	59232256
46	4435	59371520
47	4479	59600896
48	4517	59932672
49	4556	60989440
50	4593	60993536
51	4631	61485056
Hits	Total
2605	2810
Percent Hit:	92.7046%
Fitness
0.998902
Real|Predicted
Cammeo|Cammeo	Cammeo|Osmancik	Osmancik|Osmancik	Osmancik|Cammeo
1006	118	1599	87
GEN#	SUB#	μFGEN	FsBestGEN	FsWorstGEN	μTreeSzGEN	μTreeDpGEN	bTreeSzGEN	bTreeDpGEN	wTreeSzGEN	wTreeDpGEN	μFRUN	FsBestRUN	FsWorstRUN	μTreeSzRUN	μTreeDpRUN	bTreeSzRUN	bTreeDpRUN	wTreeSzRUN	wTreeDpRUN
0	0	0.9631	0.9988	0	16.979	3.382	85	6	71	6	0.9631	0.9988	0	16.979	3.382	85	6	71	6
