Runs Generation Count Mean: 15
Runs Generation Count Mode: 4 occurred (3) time(s)
GEN#	SUB#	μFGEN	FsBestGEN	FsWorstGEN	μTreeSzGEN	μTreeDpGEN	bTreeSzGEN	bTreeDpGEN	wTreeSzGEN	wTreeDpGEN	μFRUN	FsBestRUN	FsWorstRUN	μTreeSzRUN	μTreeDpRUN	bTreeSzRUN	bTreeDpRUN	wTreeSzRUN	wTreeDpRUN
0	0	0.96524	0.9982	0	17.0504	3.2444	23	3	48	5	0.96524	0.9982	0	17.0504	3.2444	23	3	48	5
1	0	0.99279	0.99826	0.09974	15.2984	3.3	30	4	49	7	0.97904	0.99826	0	16.1744	3.2722	30	4	48	5
2	0	0.99398	0.99827	0.29936	15.1112	3.4068	32	4	30	6	0.98402	0.99827	0	15.8201	3.3171	32	4	48	5
3	0	0.99396	0.99835	0.59383	15.1508	3.4716	38	5	23	6	0.9865	0.99835	0	15.6527	3.3557	38	5	48	5
4	0	0.994	0.99835	0.39907	14.7212	3.4136	38	5	25	5	0.988	0.99835	0	15.4664	3.3672	38	5	48	5
5	0	0.69539	0.69894	0.29936	10.2296	2.3704	32	3	28	4	0.69253	0.69894	0	10.7704	2.3612	32	3	34	4
6	0	0.69539	0.69898	0.19958	9.5992	2.3572	28	4	17	4	0.69293	0.69898	0	10.6032	2.3607	28	4	34	4
7	0	0.69738	0.699	0.39917	9.5664	2.3636	24	4	20	3	0.69348	0.699	0	10.4736	2.361	24	4	34	4
8	0	0.69699	0.699	0.2992	9.5436	2.3808	24	4	37	5	0.69389	0.699	0	10.3702	2.3631	24	4	34	4
9	0	0.69619	0.699	0.39912	9.8344	2.4712	23	4	30	4	0.6941	0.699	0	10.3167	2.374	23	4	34	4
10	0	0.49739	0.49931	0.19951	7.1452	1.7848	15	2	17	2	0.49598	0.49931	0	7.3675	1.6866	15	2	26	2
11	0	0.497	0.49935	0.39907	6.902	1.7648	14	2	27	4	0.49607	0.49935	0	7.3287	1.6931	14	2	26	2
12	0	0.49779	0.49935	0.1995	6.8224	1.7424	14	2	15	3	0.49621	0.49935	0	7.2897	1.6969	14	2	26	2
13	0	0.4974	0.49935	0.19958	6.386	1.6872	14	2	13	2	0.49628	0.49935	0	7.2252	1.6962	14	2	26	2
14	0	0.49779	0.49935	0.29936	6.3016	1.686	14	2	9	2	0.49638	0.49935	0	7.1635	1.6954	14	2	26	2
15	0	0.2994	0.29964	0.29939	3.2716	0.9396	6	1	1	0	0.2981	0.29964	0	4.1235	1.0018	6	1	15	1
16	0	0.2986	0.29964	0.09979	3.5468	0.9944	6	1	6	2	0.29814	0.29964	0	4.0897	1.0014	6	1	15	1
17	0	0.2994	0.29964	0.29939	3.3544	0.9432	6	1	1	0	0.2982	0.29964	0	4.0489	0.9981	6	1	15	1
18	0	0.2994	0.29964	0.29939	3.0956	0.9204	6	1	2	0	0.29826	0.29964	0	3.9986	0.9941	6	1	15	1
19	0	0.2994	0.29964	0.29918	2.9316	0.8636	6	1	3	1	0.29832	0.29964	0	3.9453	0.9876	6	1	15	1
20	0	0.1996	0.19978	0.1996	2.2624	0.6228	5	1	1	0	0.19893	0.19978	0	2.8194	0.6846	5	1	8	1
21	0	0.1996	0.19978	0.19753	2.3976	0.6464	5	1	3	1	0.19897	0.19978	0	2.8003	0.6829	5	1	8	1
22	0	0.1992	0.19978	0.0998	2.5516	0.6608	5	1	6	1	0.19898	0.19978	0	2.7895	0.6819	5	1	8	1
23	0	0.1988	0.19978	0	2.766	0.6948	5	1	2	1	0.19897	0.19978	0	2.7885	0.6824	5	1	8	1
24	0	0.1992	0.19978	0.0998	2.618	0.6832	5	1	9	1	0.19898	0.19978	0	2.7817	0.6824	5	1	8	1
25	0	0.0998	0.09989	0.09977	1.1952	0.328	4	0	4	0	0.09954	0.09989	0	1.4627	0.3644	4	0	3	0
26	0	0.0998	0.09989	0.0998	1.2204	0.3376	4	0	0	0	0.09955	0.09989	0	1.4537	0.3634	4	0	3	0
27	0	0.0994	0.09989	0	1.2952	0.374	4	0	1	0	0.09954	0.09989	0	1.448	0.3638	4	0	3	0
28	0	0.0998	0.09989	0.0998	1.2724	0.378	4	0	1	0	0.09955	0.09989	0	1.442	0.3642	4	0	3	0
29	0	0.0994	0.09989	0	1.2752	0.3888	4	0	1	0	0.09955	0.09989	0	1.4364	0.3651	4	0	3	0
30	0	0.0994	0.09989	0	1.2664	0.3708	4	0	5	0	0.09954	0.09989	0	1.4309	0.3653	4	0	3	0
31	0	0.0998	0.09989	0.09979	1.2	0.374	4	0	0	0	0.09955	0.09989	0	1.4237	0.3655	4	0	3	0
32	0	0.0994	0.09989	0	1.1408	0.3572	4	0	4	1	0.09955	0.09989	0	1.4152	0.3653	4	0	3	0
33	0	0.0998	0.09989	0.0998	1.0956	0.35	4	0	2	0	0.09955	0.09989	0	1.4058	0.3648	4	0	3	0
34	0	0.0994	0.09989	0	1.174	0.3472	4	0	1	0	0.09955	0.09989	0	1.3991	0.3643	4	0	3	0
35	0	0.099	0.09989	0	1.1304	0.336	4	0	5	1	0.09953	0.09989	0	1.3917	0.3635	4	0	3	0
36	0	0.0998	0.09989	0.09979	1.172	0.348	4	0	3	0	0.09954	0.09989	0	1.3857	0.3631	4	0	3	0
37	0	0.0994	0.09989	0	1.1964	0.356	4	0	2	0	0.09954	0.09989	0	1.3807	0.3629	4	0	3	0
38	0	0.0994	0.09989	0	1.0636	0.3284	4	0	1	0	0.09953	0.09989	0	1.3726	0.362	4	0	3	0
39	0	0.0998	0.09989	0.09979	1.0264	0.3156	4	0	0	0	0.09954	0.09989	0	1.364	0.3609	4	0	3	0
40	0	0.0998	0.09989	0.0998	1.0032	0.3164	4	0	0	0	0.09955	0.09989	0	1.3552	0.3598	4	0	3	0
41	0	0.0998	0.09989	0.0998	1.0072	0.314	4	0	6	1	0.09955	0.09989	0	1.3469	0.3587	4	0	3	0
42	0	0.099	0.09989	0	1.1108	0.3528	4	0	1	0	0.09954	0.09989	0	1.3414	0.3586	4	0	3	0
43	0	0.0994	0.09989	0	0.8944	0.2944	4	0	6	1	0.09954	0.09989	0	1.3312	0.3571	4	0	3	0
44	0	0.0998	0.09989	0.0998	0.7296	0.2456	4	0	0	0	0.09954	0.09989	0	1.3179	0.3546	4	0	3	0
45	0	0.0998	0.09989	0.0998	0.6924	0.236	4	0	0	0	0.09955	0.09989	0	1.3043	0.3521	4	0	3	0
