Run	Remaining Subpopulations
0	120
1	120
2	120
3	120
4	120
5	94
6	94
7	94
8	94
9	94
10	75
11	75
12	75
13	75
14	75
15	59
16	59
17	59
18	59
19	59
20	47
21	47
22	47
23	47
24	47
25	0
26	0
27	0
28	0
29	0
Timer Name	Value
CPU Time (ns):	1157291001460
Wall Time (ms):	130431
CPU Cycles:	263273641810152294
Snapshot #	Snapshot Time(ms)	Value(Bytes)
1	9	3820888064
2	10751	3981623296
3	16854	4052094976
4	23458	4133130240
5	29320	4219006976
6	35058	4288561152
7	40285	4364636160
8	44870	4433899520
9	48755	4516696064
10	51901	4581277696
11	54089	4659744768
12	64779	3694419968
13	68075	3745370112
14	70843	3799302144
15	73459	3848605696
16	76001	3889889280
17	78457	3945693184
18	80206	3989794816
19	81808	4034707456
20	83140	4083802112
21	84414	4134301696
22	91099	3327340544
23	93235	3365052416
24	95400	3405725696
25	97384	3438665728
26	99212	3474075648
27	100601	3509518336
28	101905	3543330816
29	103054	3576389632
30	103850	3610841088
31	104532	3643375616
32	107965	2884214784
33	108967	2909831168
34	110111	2933903360
35	111435	2960367616
36	112776	2989187072
37	114051	3016388608
38	115316	3037163520
39	116482	3063119872
40	117400	3083300864
41	118018	3109318656
42	120390	2492235776
43	121426	2513502208
44	122525	2530791424
45	123570	2555412480
46	124584	2576601088
47	125618	2595803136
48	126561	2615328768
49	127342	2635440128
50	127933	2655240192
51	128323	2672050176
Aggregation Count:	120
Timer Name	Value
CPU Time (ns):	9644091678
Wall Time (ms):	33109
CPU Cycles:	2193947015084602
Snapshot #	Snapshot Time(ms)	Value(Bytes)
1	9	31840733
2	10751	33180194
3	16854	33767458
4	23458	34442752
5	29320	35158391
6	35058	35738009
7	40285	36371968
8	44870	36949162
9	48755	37639133
10	51901	38177314
11	54089	38831206
12	64779	39302340
13	68075	39844362
14	70843	40418107
15	73459	40942613
16	76001	41381800
17	78457	41975459
18	80206	42444625
19	81808	42922419
20	83140	43444703
21	84414	43981932
22	91099	44364540
23	93235	44867365
24	95400	45409675
25	97384	45848876
26	99212	46321008
27	100601	46793577
28	101905	47244410
29	103054	47685195
30	103850	48144547
31	104532	48578341
32	107965	48884996
33	108967	49319172
34	110111	49727175
35	111435	50175722
36	112776	50664187
37	114051	51125230
38	115316	51477347
39	116482	51917285
40	117400	52259336
41	118018	52700316
42	120390	53026293
43	121426	53478770
44	122525	53846626
45	123570	54370478
46	124584	54821299
47	125618	55229853
48	126561	55645292
49	127342	56073194
50	127933	56494472
51	128323	56852131
Hits	Total
2185	2810
Percent Hit:	77.758%
Fitness
0.998702
Real|Predicted
Cammeo|Cammeo	Cammeo|Osmancik	Osmancik|Osmancik	Osmancik|Cammeo
880	249	1305	375
GEN#	SUB#	μFGEN	FsBestGEN	FsWorstGEN	μTreeSzGEN	μTreeDpGEN	bTreeSzGEN	bTreeDpGEN	wTreeSzGEN	wTreeDpGEN	μFRUN	FsBestRUN	FsWorstRUN	μTreeSzRUN	μTreeDpRUN	bTreeSzRUN	bTreeDpRUN	wTreeSzRUN	wTreeDpRUN
0	0	0.959866	0.998387	0	17.4501	3.33939	26	4	41	5	0.959866	0.998387	0	17.4501	3.33939	26	4	41	5
1	0	0.991423	0.998468	0	15.4018	3.37937	27	4	38	6	0.975647	0.998468	0	16.4259	3.35934	27	4	41	5
2	0	0.992248	0.998544	0.008315	14.6618	3.43168	26	4	35	6	0.981179	0.998544	0	15.8379	3.38348	26	4	41	5
3	0	0.993367	0.998579	0.0234942	13.956	3.44644	26	4	37	6	0.984226	0.998579	0	15.3674	3.39924	26	4	41	5
4	0	0.993851	0.998597	0.0415383	13.3471	3.43697	24	4	35	6	0.986154	0.998597	0	14.9634	3.40676	24	4	41	5
5	0	0.994403	0.998626	0.0747933	12.6355	3.39302	24	4	33	6	0.987527	0.998626	0	14.5754	3.40447	24	4	41	5
6	0	0.994936	0.998639	0.0828542	12.0824	3.35796	24	4	32	6	0.98859	0.998639	0	14.2192	3.39789	24	4	41	5
7	0	0.995055	0.998656	0.124641	11.5678	3.31455	23	4	31	6	0.989392	0.998656	0	13.8878	3.38746	23	4	41	5
8	0	0.995468	0.998663	0.182525	11.1563	3.27512	22	4	32	7	0.99007	0.998663	0	13.5843	3.37495	22	4	41	5
9	0	0.995449	0.998675	0.0996775	10.6789	3.20908	22	4	31	7	0.990603	0.998675	0	13.2938	3.35836	22	4	41	5
10	0	0.779945	0.782344	0.113598	8.17021	2.48838	17	3	26	5	0.776344	0.782344	0	10.2973	2.63088	17	3	32	4
11	0	0.77984	0.782346	0.132974	7.80785	2.43444	17	4	22	5	0.776638	0.782346	0	10.0898	2.61452	17	4	32	4
12	0	0.78025	0.782347	0.182515	7.42728	2.36947	18	4	20	5	0.776915	0.782347	0	9.88505	2.59566	18	4	32	4
13	0	0.780461	0.78235	0.224278	7.14364	2.32193	17	4	20	5	0.777163	0.78235	0	9.68922	2.5761	17	4	32	4
14	0	0.780524	0.782352	0.224202	6.81567	2.25937	17	4	21	5	0.777391	0.782352	0	9.49763	2.55495	17	4	32	4
15	0	0.780742	0.782356	0.307414	6.53023	2.19303	17	4	18	4	0.777601	0.782356	0	9.31217	2.53239	17	4	32	4
16	0	0.780791	0.782357	0.307501	6.25871	2.13239	16	4	18	5	0.777787	0.782357	0	9.13257	2.50884	16	4	32	4
17	0	0.780928	0.782357	0.373997	6.00802	2.07849	16	4	17	4	0.777964	0.782357	0	8.95901	2.48495	16	4	32	4
18	0	0.780836	0.782357	0.274273	5.82641	2.03666	16	4	17	4	0.778109	0.782357	0	8.79413	2.46134	16	4	32	4
19	0	0.780876	0.782357	0.307508	5.65073	1.99274	15	4	16	4	0.778246	0.782357	0	8.63694	2.43792	15	4	32	4
20	0	0.623254	0.624238	0.332267	4.30148	1.53842	11	3	10	3	0.621095	0.624238	0	6.75361	1.92171	11	3	25	3
21	0	0.623085	0.624238	0.290786	4.17975	1.50527	11	3	12	3	0.621185	0.624238	0	6.63661	1.90277	11	3	25	3
22	0	0.623162	0.624238	0.332486	4.11279	1.48455	11	3	10	3	0.621268	0.624238	0	6.52687	1.88455	11	3	25	3
23	0	0.623228	0.624241	0.323968	4.03136	1.46537	11	3	11	3	0.621348	0.624241	0	6.42292	1.86707	11	3	25	3
24	0	0.623231	0.624241	0.331782	3.88115	1.42482	11	3	9	2	0.621423	0.624241	0	6.32124	1.84942	11	3	25	3
25	0	0.623302	0.624241	0.331805	3.7639	1.3904	11	3	11	3	0.621499	0.624241	0	6.2229	1.83174	11	3	25	3
26	0	0.623353	0.624241	0.389778	3.70585	1.37656	11	3	9	2	0.621566	0.624241	0	6.12964	1.81489	11	3	25	3
27	0	0.623365	0.624241	0.398841	3.65143	1.36173	11	3	9	2	0.621633	0.624241	0	6.04112	1.7987	11	3	25	3
28	0	0.623376	0.624241	0.365729	3.57974	1.33513	11	3	7	2	0.621692	0.624241	0	5.95627	1.78269	11	3	25	3
29	0	0.623238	0.624241	0.307574	3.53468	1.32282	11	3	8	2	0.621739	0.624241	0	5.87557	1.7674	11	3	25	3
30	0	0.490363	0.491081	0.282514	2.68914	1.01279	8	2	6	1	0.489141	0.491081	0	4.55258	1.37633	8	2	20	2
31	0	0.490394	0.491082	0.299201	2.67567	1.00533	8	2	6	2	0.489177	0.491082	0	4.49389	1.36471	8	2	20	2
32	0	0.490396	0.491083	0.315769	2.65533	0.996908	8	2	6	2	0.489219	0.491083	0	4.43822	1.35357	8	2	20	2
33	0	0.490404	0.491083	0.31984	2.63794	0.990358	8	2	6	2	0.489254	0.491083	0	4.38524	1.34283	8	2	20	2
34	0	0.490396	0.491085	0.307518	2.60531	0.982342	8	2	6	2	0.489282	0.491085	0	4.33444	1.33258	8	2	20	2
35	0	0.490363	0.491085	0.30645	2.57601	0.973808	8	2	6	2	0.489314	0.491085	0	4.28557	1.3226	8	2	20	2
36	0	0.490408	0.491085	0.315793	2.56708	0.975383	8	2	6	1	0.489342	0.491085	0	4.23908	1.3132	8	2	20	2
37	0	0.490551	0.491085	0.390699	2.55127	0.96815	8	2	5	1	0.489372	0.491085	0	4.19471	1.30412	8	2	20	2
38	0	0.490404	0.491086	0.332539	2.52529	0.961033	8	2	4	1	0.489401	0.491086	0	4.15188	1.29535	8	2	20	2
39	0	0.490342	0.491086	0.299197	2.49076	0.95245	8	2	5	2	0.489428	0.491086	0	4.11035	1.28678	8	2	20	2
40	0	0.390658	0.391216	0.241034	1.96235	0.753933	7	2	4	1	0.389906	0.391216	0	3.23136	1.01813	7	2	16	2
41	0	0.390592	0.391216	0.216076	1.93258	0.742508	7	2	4	1	0.389926	0.391216	0	3.20045	1.01162	7	2	16	2
42	0	0.390657	0.391216	0.24944	1.93137	0.74325	7	2	4	1	0.389939	0.391216	0	3.17095	1.00537	7	2	16	2
43	0	0.390721	0.391217	0.274218	1.92017	0.73955	7	2	4	1	0.38996	0.391217	0	3.14247	0.999325	7	2	16	2
44	0	0.390699	0.391218	0.281698	1.91236	0.732642	7	2	4	1	0.389974	0.391218	0	3.11513	0.993392	7	2	16	2
45	0	0.390667	0.391218	0.2649	1.89484	0.7277	7	2	4	1	0.38999	0.391218	0	3.08862	0.98765	7	2	16	2
46	0	0.390679	0.391218	0.265894	1.88482	0.724425	7	2	4	1	0.390005	0.391218	0	3.06303	0.982025	7	2	16	2
47	0	0.390677	0.391218	0.265849	1.88577	0.724342	7	2	4	1	0.390018	0.391218	0	3.03846	0.976642	7	2	16	2
48	0	0.390626	0.391218	0.241053	1.8774	0.720958	7	2	4	1	0.390031	0.391218	0	3.01478	0.971417	7	2	16	2
49	0	0.390617	0.391218	0.216136	1.87377	0.720408	7	2	4	1	0.390042	0.391218	0	2.99197	0.966433	7	2	16	2
50	0	0.307564	0.307986	0.216031	1.49647	0.577392	6	1	3	1	0.30707	0.307986	0	2.34387	0.758525	6	1	12	1
