Run	Remaining Subpopulations
0	120
1	120
2	120
3	120
4	120
5	94
6	94
7	94
8	94
9	94
10	75
11	75
12	75
13	75
14	75
15	59
16	59
17	59
18	59
19	59
20	47
21	47
22	47
23	47
24	47
25	0
26	0
27	0
28	0
29	0
Timer Name	Value
CPU Time (ns):	0
Wall Time (ms):	130431
CPU Cycles:	0
Snapshot #	Snapshot Time(ms)	Value(Bytes)
1	12	32903168
2	12882	34365440
3	19140	34811904
4	27339	36143104
5	34710	35418112
6	40150	35696640
7	46220	36106240
8	51530	37257216
9	55726	38481920
10	57111	38440960
11	57699	39620608
12	65600	39563264
13	69687	39686144
14	73142	40878080
15	77336	41742336
16	80293	41926656
17	83051	43048960
18	83286	43372544
19	84606	43626496
20	85322	43745280
21	87462	43708416
22	92208	44724224
23	95271	45129728
24	97234	45424640
25	100643	45948928
26	102634	46395392
27	103008	45359104
28	104378	46362624
29	105791	47349760
30	106377	48103424
31	106432	48545792
32	109256	48820224
33	109823	49950720
34	111459	49856512
35	113177	50745344
36	114057	51027968
37	115543	52293632
38	117190	52690944
39	118355	53411840
40	119114	53624832
41	119226	53944320
42	120977	54452224
43	122539	55234560
44	123531	55611392
45	124071	55345152
46	125334	55803904
47	127010	56680448
48	128106	57442304
49	128825	57511936
50	129276	57991168
51	129371	58040320
Aggregation Count:	1
Timer Name	Value
CPU Time (ns):	0
Wall Time (ms):	0
CPU Cycles:	0
Snapshot #	Snapshot Time(ms)	Value(Bytes)
1	12	32903168
2	12882	34365440
3	19140	34811904
4	27339	36143104
5	34710	35418112
6	40150	35696640
7	46220	36106240
8	51530	37257216
9	55726	38481920
10	57111	38440960
11	57699	39620608
12	65600	39563264
13	69687	39686144
14	73142	40878080
15	77336	41742336
16	80293	41926656
17	83051	43048960
18	83286	43372544
19	84606	43626496
20	85322	43745280
21	87462	43708416
22	92208	44724224
23	95271	45129728
24	97234	45424640
25	100643	45948928
26	102634	46395392
27	103008	45359104
28	104378	46362624
29	105791	47349760
30	106377	48103424
31	106432	48545792
32	109256	48820224
33	109823	49950720
34	111459	49856512
35	113177	50745344
36	114057	51027968
37	115543	52293632
38	117190	52690944
39	118355	53411840
40	119114	53624832
41	119226	53944320
42	120977	54452224
43	122539	55234560
44	123531	55611392
45	124071	55345152
46	125334	55803904
47	127010	56680448
48	128106	57442304
49	128825	57511936
50	129276	57991168
51	129371	58040320
Hits	Total
2599	2810
Percent Hit:	92.4911%
Fitness
0.998932
Real|Predicted
Cammeo|Cammeo	Cammeo|Osmancik	Osmancik|Osmancik	Osmancik|Cammeo
1033	90	1566	121
GEN#	SUB#	μFGEN	FsBestGEN	FsWorstGEN	μTreeSzGEN	μTreeDpGEN	bTreeSzGEN	bTreeDpGEN	wTreeSzGEN	wTreeDpGEN	μFRUN	FsBestRUN	FsWorstRUN	μTreeSzRUN	μTreeDpRUN	bTreeSzRUN	bTreeDpRUN	wTreeSzRUN	wTreeDpRUN
0	0	0.9531	0.9987	0	17.089	3.322	15	3	15	4	0.9531	0.9987	0	17.089	3.322	15	3	15	4
1	0	0.9893	0.9989	0	14.166	3.336	21	6	98	8	0.9712	0.9989	0	15.627	3.329	21	6	15	4
2	0	0.9955	0.9989	0	13.136	3.342	21	6	23	5	0.9793	0.9989	0	14.797	3.334	21	6	15	4
3	0	0.9918	0.9989	0	11.745	3.252	21	6	40	9	0.9824	0.9989	0	14.034	3.313	21	6	15	4
4	0	0.9968	0.9989	0	11.609	3.348	21	6	35	6	0.9853	0.9989	0	13.549	3.32	21	6	15	4
5	0	0.9968	0.9989	0	11.224	3.391	21	6	20	9	0.9872	0.9989	0	13.161	3.332	21	6	15	4
6	0	0.9968	0.9989	0	10.79	3.336	21	6	31	9	0.9886	0.9989	0	12.823	3.333	21	6	15	4
7	0	0.998	0.9989	0.9979	10.977	3.422	21	6	39	6	0.9898	0.9989	0	12.592	3.344	21	6	15	4
8	0	0.993	0.9989	0	10.56	3.286	21	6	15	7	0.9901	0.9989	0	12.366	3.337	21	6	15	4
9	0	0.9955	0.9989	0	10.571	3.27	21	6	18	5	0.9907	0.9989	0	12.187	3.331	21	6	15	4
10	0	0.9943	0.9989	0	9.509	3.101	21	6	45	10	0.991	0.9989	0	11.943	3.31	21	6	15	4
