Run	Remaining Subpopulations
0	120
1	120
2	120
3	120
4	120
5	94
6	94
7	94
8	94
9	94
10	75
11	75
12	75
13	75
14	75
15	59
16	59
17	59
18	59
19	59
20	47
21	47
22	47
23	47
24	47
25	0
26	0
27	0
28	0
29	0
Timer Name	Value
CPU Time (ns):	867788987272
Wall Time (ms):	130431
CPU Cycles:	170354815264044492
Snapshot #	Snapshot Time(ms)	Value(Bytes)
1	8	1172185088
2	11198	1220571136
3	17502	1241268224
4	24338	1265364992
5	30476	1287532544
6	36052	1309081600
7	40893	1334624256
8	45292	1354547200
9	48693	1382674432
10	51769	1405587456
11	53835	1428623360
12	64878	1447428096
13	68258	1469517824
14	71044	1485418496
15	73815	1507266560
16	76219	1523023872
17	78894	1546457088
18	80592	1563041792
19	82181	1579245568
20	83429	1593958400
21	84660	1615818752
22	91105	1635549184
23	93314	1654280192
24	95470	1673674752
25	97645	1690435584
26	99546	1707868160
27	100963	1725849600
28	102270	1742950400
29	103356	1758937088
30	104144	1775501312
31	104778	1791356928
32	107986	1803321344
33	108913	1820491776
34	110162	1836421120
35	111612	1854210048
36	112940	1870987264
37	114234	1889259520
38	115523	1900552192
39	116690	1918664704
40	117575	1931399168
41	118176	1943556096
42	120404	1958158336
43	121443	1975525376
44	122577	1990053888
45	123652	2007920640
46	124721	2024718336
47	125800	2039652352
48	126726	2053779456
49	127472	2070560768
50	128041	2086137856
51	128386	2099236864
Aggregation Count:	37
Timer Name	Value
CPU Time (ns):	23453756412
Wall Time (ms):	77190
CPU Cycles:	4604184196325526
Snapshot #	Snapshot Time(ms)	Value(Bytes)
1	8	31680678
2	11198	32988409
3	17502	33547789
4	24338	34199053
5	30476	34798176
6	36052	35380583
7	40893	36070925
8	45292	36609383
9	48693	37369579
10	51769	37988850
11	53835	38611442
12	64878	39119678
13	68258	39716697
14	71044	40146445
15	73815	40736934
16	76219	41162807
17	78894	41796137
18	80592	42244372
19	82181	42682312
20	83429	43079956
21	84660	43670777
22	91105	44204032
23	93314	44710275
24	95470	45234452
25	97645	45687448
26	99546	46158598
27	100963	46644583
28	102270	47106767
29	103356	47538840
30	104144	47986521
31	104778	48415052
32	107986	48738414
33	108913	49202480
34	110162	49633003
35	111612	50113785
36	112940	50567223
37	114234	51061068
38	115523	51366275
39	116690	51855802
40	117575	52199977
41	118176	52528543
42	120404	52923198
43	121443	53392577
44	122577	53785240
45	123652	54268125
46	124721	54722117
47	125800	55125739
48	126726	55507552
49	127472	55961101
50	128041	56382104
51	128386	56736131
Hits	Total
2478	2810
Percent Hit:	88.1851%
Fitness
0.998869
Real|Predicted
Cammeo|Cammeo	Cammeo|Osmancik	Osmancik|Osmancik	Osmancik|Cammeo
987	140	1491	191
GEN#	SUB#	μFGEN	FsBestGEN	FsWorstGEN	μTreeSzGEN	μTreeDpGEN	bTreeSzGEN	bTreeDpGEN	wTreeSzGEN	wTreeDpGEN	μFRUN	FsBestRUN	FsWorstRUN	μTreeSzRUN	μTreeDpRUN	bTreeSzRUN	bTreeDpRUN	wTreeSzRUN	wTreeDpRUN
0	0	0.960357	0.998465	0	17.5146	3.33632	24	3	41	5	0.960357	0.998465	0	17.5146	3.33632	24	3	41	5
1	0	0.991886	0.998549	0	15.556	3.37784	28	4	40	6	0.976127	0.998549	0	16.5352	3.35708	28	4	41	5
2	0	0.992819	0.998632	0.0269676	14.8457	3.44049	26	4	32	5	0.981692	0.998632	0	15.9721	3.38492	26	4	41	5
3	0	0.99317	0.998711	0	14.0986	3.44032	26	5	39	6	0.984559	0.998711	0	15.5037	3.39886	26	5	41	5
4	0	0.993759	0.998719	0.053873	13.3456	3.42638	24	5	36	6	0.986403	0.998719	0	15.0721	3.40435	24	5	41	5
5	0	0.994843	0.998757	0.026973	12.6181	3.3853	25	5	35	6	0.987805	0.998757	0	14.6631	3.40108	25	5	41	5
6	0	0.995008	0.998789	0.0531838	12.0409	3.34822	25	5	32	7	0.988838	0.998789	0	14.2885	3.39368	25	5	41	5
7	0	0.995541	0.998795	0.188678	11.4373	3.27419	21	5	31	6	0.989676	0.998795	0	13.9321	3.3787	21	5	41	5
8	0	0.995441	0.998803	0.241776	11.0573	3.23659	21	5	37	7	0.990303	0.998803	0	13.6126	3.36286	21	5	41	5
9	0	0.995554	0.998811	0.0538459	10.6248	3.18157	20	5	31	7	0.990838	0.998811	0	13.3139	3.34476	20	5	41	5
