Run	Remaining Subpopulations
0	120
1	120
2	120
3	120
4	120
5	94
6	94
7	94
8	94
9	94
10	75
11	75
12	75
13	75
14	75
15	59
16	59
17	59
18	59
19	59
20	47
21	47
22	47
23	47
24	47
25	0
26	0
27	0
28	0
29	0
Timer Name	Value
CPU Time (ns):	0
Wall Time (ms):	130431
CPU Cycles:	0
Snapshot #	Snapshot Time(ms)	Value(Bytes)
1	6	29876224
2	9483	30957568
3	16885	31490048
4	24806	31010816
5	32978	32223232
6	38705	33226752
7	45176	33943552
8	50201	34557952
9	54167	36483072
10	56745	36704256
11	58463	37261312
12	64281	37568512
13	68370	37888000
14	71944	38809600
15	75462	39383040
16	78737	40165376
17	81389	40267776
18	83609	40308736
19	84985	41160704
20	85934	41340928
21	86755	42483712
22	90387	43188224
23	90723	43630592
24	92194	43851776
25	93399	43700224
26	95191	44466176
27	96825	45129728
28	98411	45449216
29	99684	46383104
30	101691	47153152
31	103312	46878720
32	107662	47783936
33	107786	47882240
34	109113	48349184
35	110908	49135616
36	112130	49311744
37	113882	50356224
38	115266	50176000
39	116583	49971200
40	118037	50548736
41	118380	50999296
42	119754	51007488
43	119959	51580928
44	121020	51879936
45	122174	52699136
46	122809	53194752
47	123853	53665792
48	124552	54394880
49	125483	54231040
50	126897	54513664
51	127329	54542336
Aggregation Count:	1
Timer Name	Value
CPU Time (ns):	0
Wall Time (ms):	0
CPU Cycles:	0
Snapshot #	Snapshot Time(ms)	Value(Bytes)
1	6	29876224
2	9483	30957568
3	16885	31490048
4	24806	31010816
5	32978	32223232
6	38705	33226752
7	45176	33943552
8	50201	34557952
9	54167	36483072
10	56745	36704256
11	58463	37261312
12	64281	37568512
13	68370	37888000
14	71944	38809600
15	75462	39383040
16	78737	40165376
17	81389	40267776
18	83609	40308736
19	84985	41160704
20	85934	41340928
21	86755	42483712
22	90387	43188224
23	90723	43630592
24	92194	43851776
25	93399	43700224
26	95191	44466176
27	96825	45129728
28	98411	45449216
29	99684	46383104
30	101691	47153152
31	103312	46878720
32	107662	47783936
33	107786	47882240
34	109113	48349184
35	110908	49135616
36	112130	49311744
37	113882	50356224
38	115266	50176000
39	116583	49971200
40	118037	50548736
41	118380	50999296
42	119754	51007488
43	119959	51580928
44	121020	51879936
45	122174	52699136
46	122809	53194752
47	123853	53665792
48	124552	54394880
49	125483	54231040
50	126897	54513664
51	127329	54542336
Hits	Total
2606	2810
Percent Hit:	92.7402%
Fitness
0.998897
Real|Predicted
Cammeo|Cammeo	Cammeo|Osmancik	Osmancik|Osmancik	Osmancik|Cammeo
979	139	1627	65
GEN#	SUB#	μFGEN	FsBestGEN	FsWorstGEN	μTreeSzGEN	μTreeDpGEN	bTreeSzGEN	bTreeDpGEN	wTreeSzGEN	wTreeDpGEN	μFRUN	FsBestRUN	FsWorstRUN	μTreeSzRUN	μTreeDpRUN	bTreeSzRUN	bTreeDpRUN	wTreeSzRUN	wTreeDpRUN
0	0	0.9681	0.9982	0	18.242	3.396	15	5	47	5	0.9681	0.9982	0	18.242	3.396	15	5	47	5
1	0	0.9943	0.9982	0	16.356	3.434	15	5	59	9	0.9812	0.9982	0	17.299	3.415	15	5	47	5
2	0	0.993	0.9982	0	15.805	3.521	15	5	25	5	0.9851	0.9982	0	16.801	3.45	15	5	47	5
3	0	0.9955	0.9989	0	14.764	3.541	25	7	39	7	0.9877	0.9989	0	16.292	3.473	25	7	47	5
