Run	Remaining Subpopulations
0	80
1	80
2	80
3	80
4	80
5	63
6	63
7	63
8	63
9	63
10	50
11	50
12	50
13	50
14	50
15	39
16	39
17	39
18	39
19	39
20	31
21	31
22	31
23	31
24	31
Timer Name	Value
CPU Time (ns):	1081257482424
Wall Time (ms):	81268
CPU Cycles:	240178044335656780
Snapshot #	Snapshot Time(ms)	Value(Bytes)
1	6	2594942976
2	7552	2721210368
3	11988	2774077440
4	15679	2824503296
5	19294	2875629568
6	22435	2923081728
7	25454	2975440896
8	27958	3023810560
9	29928	3074822144
10	31467	3121864704
11	32557	3169243136
12	39888	2536976384
13	42198	2571206656
14	44299	2608791552
15	46242	2634817536
16	48104	2663116800
17	49803	2693971968
18	51411	2728071168
19	52697	2757181440
20	53663	2794655744
21	54313	2825445376
22	58081	2268164096
23	59247	2294169600
24	60399	2317672448
25	61533	2339823616
26	62702	2361950208
27	63809	2384297984
28	64784	2403778560
29	65596	2426331136
30	66272	2444902400
31	66783	2469556224
32	68936	1940189184
33	69636	1956925440
34	70289	1972203520
35	70975	1989079040
36	71655	2008997888
37	72287	2023284736
38	72859	2041774080
39	73351	2060746752
40	73738	2080309248
41	74055	2090958848
42	75691	1678131200
43	76205	1691766784
44	76774	1706192896
45	77339	1720750080
46	77920	1735356416
47	78393	1747697664
48	78909	1759526912
49	79339	1773305856
50	79687	1785196544
51	79899	1796710400
Aggregation Count:	80
Timer Name	Value
CPU Time (ns):	13515718530
Wall Time (ms):	32496
CPU Cycles:	3002225554195709
Snapshot #	Snapshot Time(ms)	Value(Bytes)
1	6	32436787
2	7552	34015129
3	11988	34675968
4	15679	35306291
5	19294	35945369
6	22435	36538521
7	25454	37193011
8	27958	37797632
9	29928	38435276
10	31467	39023308
11	32557	39615539
12	39888	40269466
13	42198	40812804
14	44299	41409389
15	46242	41822500
16	48104	42271695
17	49803	42761459
18	51411	43302716
19	52697	43764784
20	53663	44359614
21	54313	44848339
22	58081	45363281
23	59247	45883392
24	60399	46353448
25	61533	46796472
26	62702	47239004
27	63809	47685959
28	64784	48075571
29	65596	48526622
30	66272	48898048
31	66783	49391124
32	68936	49748440
33	69636	50177575
34	70289	50569321
35	70975	51002026
36	71655	51512766
37	72287	51879095
38	72859	52353181
39	73351	52839660
40	73738	53341262
41	74055	53614329
42	75691	54133264
43	76205	54573122
44	76774	55038480
45	77339	55508067
46	77920	55979239
47	78393	56377344
48	78909	56758932
49	79339	57203414
50	79687	57586985
51	79899	57958400
Hits	Total
2184	2810
Percent Hit:	77.7224%
Fitness
0.998702
Real|Predicted
Cammeo|Cammeo	Cammeo|Osmancik	Osmancik|Osmancik	Osmancik|Cammeo
925	205	1259	420
GEN#	SUB#	μFGEN	FsBestGEN	FsWorstGEN	μTreeSzGEN	μTreeDpGEN	bTreeSzGEN	bTreeDpGEN	wTreeSzGEN	wTreeDpGEN	μFRUN	FsBestRUN	FsWorstRUN	μTreeSzRUN	μTreeDpRUN	bTreeSzRUN	bTreeDpRUN	wTreeSzRUN	wTreeDpRUN
0	0	0.960211	0.99835	0	17.481	3.34251	28	4	48	5	0.960211	0.99835	0	17.481	3.34251	28	4	48	5
1	0	0.992105	0.998488	0	15.7089	3.39874	27	4	38	6	0.976162	0.998488	0	16.595	3.3706	27	4	48	5
2	0	0.992171	0.998545	0	15.0455	3.46086	26	4	38	6	0.9815	0.998545	0	16.0784	3.4007	26	4	48	5
3	0	0.993042	0.998598	0.0246013	14.3988	3.47766	24	4	37	6	0.984385	0.998598	0	15.6585	3.41999	24	4	48	5
