Run	Remaining Subpopulations
0	80
1	80
2	80
3	80
4	80
5	63
6	63
7	63
8	63
9	63
10	50
11	50
12	50
13	50
14	50
15	39
16	39
17	39
18	39
19	39
20	31
21	31
22	31
23	31
24	31
Timer Name	Value
CPU Time (ns):	35165643415
Wall Time (ms):	81268
CPU Cycles:	7747709899054928
Snapshot #	Snapshot Time(ms)	Value(Bytes)
1	6	31997952
2	12153	33439744
3	14903	33931264
4	19081	34287616
5	19577	34258944
6	23037	35037184
7	23360	35663872
8	23986	36950016
9	26348	37814272
10	28063	38121472
11	31145	39034880
12	40829	39813120
13	43855	40890368
14	46787	41115648
15	49868	42115072
16	52896	41816064
17	53852	41988096
18	54206	43343872
19	54780	43601920
20	55158	43884544
21	55296	44625920
22	58601	45363200
23	59406	45883392
24	59556	46256128
25	60655	46161920
26	62088	46542848
27	63243	47386624
28	64704	48361472
29	66016	48824320
30	66841	49401856
31	67432	50061312
32	69011	49922048
33	69890	49700864
34	70088	50458624
35	71071	50466816
36	72066	50929664
37	72942	51687424
38	73708	52023296
39	74051	52076544
40	74279	52826112
41	74635	53313536
42	76156	53583872
43	76660	54308864
44	77345	55369728
45	77721	55595008
46	78594	56299520
47	79155	56958976
48	79859	56946688
49	80090	57327616
50	80219	58449920
51	80313	58253312
Aggregation Count:	1
Timer Name	Value
CPU Time (ns):	35165643415
Wall Time (ms):	81091
CPU Cycles:	7747709899054928
Snapshot #	Snapshot Time(ms)	Value(Bytes)
1	6	31997952
2	12153	33439744
3	14903	33931264
4	19081	34287616
5	19577	34258944
6	23037	35037184
7	23360	35663872
8	23986	36950016
9	26348	37814272
10	28063	38121472
11	31145	39034880
12	40829	39813120
13	43855	40890368
14	46787	41115648
15	49868	42115072
16	52896	41816064
17	53852	41988096
18	54206	43343872
19	54780	43601920
20	55158	43884544
21	55296	44625920
22	58601	45363200
23	59406	45883392
24	59556	46256128
25	60655	46161920
26	62088	46542848
27	63243	47386624
28	64704	48361472
29	66016	48824320
30	66841	49401856
31	67432	50061312
32	69011	49922048
33	69890	49700864
34	70088	50458624
35	71071	50466816
36	72066	50929664
37	72942	51687424
38	73708	52023296
39	74051	52076544
40	74279	52826112
41	74635	53313536
42	76156	53583872
43	76660	54308864
44	77345	55369728
45	77721	55595008
46	78594	56299520
47	79155	56958976
48	79859	56946688
49	80090	57327616
50	80219	58449920
51	80313	58253312
Hits	Total
2573	2810
Percent Hit:	91.5658%
Fitness
0.998932
Real|Predicted
Cammeo|Cammeo	Cammeo|Osmancik	Osmancik|Osmancik	Osmancik|Cammeo
1058	76	1515	161
GEN#	SUB#	μFGEN	FsBestGEN	FsWorstGEN	μTreeSzGEN	μTreeDpGEN	bTreeSzGEN	bTreeDpGEN	wTreeSzGEN	wTreeDpGEN	μFRUN	FsBestRUN	FsWorstRUN	μTreeSzRUN	μTreeDpRUN	bTreeSzRUN	bTreeDpRUN	wTreeSzRUN	wTreeDpRUN
0	0	0.9667	0.9985	0	16.904	3.393	38	5	34	5	0.9667	0.9985	0	16.904	3.393	38	5	34	5
1	0	0.9929	0.9985	0	15.884	3.59	38	5	49	6	0.9798	0.9985	0	16.394	3.491	38	5	34	5
2	0	0.988	0.9985	0	14.021	3.535	38	5	26	8	0.9825	0.9985	0	15.603	3.506	38	5	34	5
3	0	0.9955	0.9985	0	13.584	3.474	38	5	92	10	0.9858	0.9985	0	15.098	3.498	38	5	34	5
4	0	0.993	0.9985	0	13.231	3.451	38	5	47	6	0.9872	0.9985	0	14.725	3.489	38	5	34	5
5	0	0.9943	0.9985	0	12.818	3.303	3	1	55	11	0.9884	0.9985	0	14.407	3.458	3	1	34	5
6	0	0.993	0.9985	0	12.354	3.33	3	1	44	11	0.989	0.9985	0	14.114	3.439	3	1	34	5
7	0	0.9967	0.9986	0	12.589	3.507	33	6	43	6	0.99	0.9986	0	13.923	3.448	33	6	34	5
8	0	0.9955	0.9986	0	11.869	3.411	33	6	9	4	0.9906	0.9986	0	13.695	3.444	33	6	34	5
9	0	0.993	0.9986	0	11.26	3.316	33	6	15	4	0.9909	0.9986	0	13.451	3.431	33	6	34	5
10	0	0.998	0.9986	0.9975	10.661	3.101	33	6	17	6	0.9915	0.9986	0	13.198	3.401	33	6	34	5
11	0	0.9943	0.9988	0	10.537	3.178	34	6	45	7	0.9917	0.9988	0	12.976	3.382	34	6	34	5
12	0	0.998	0.9988	0.998	9.951	3.089	34	6	3	1	0.9922	0.9988	0	12.743	3.36	34	6	34	5
13	0	0.9967	0.9988	0	9.8	3.072	34	6	30	8	0.9925	0.9988	0	12.533	3.339	34	6	34	5
14	0	0.9968	0.9988	0	9.219	2.976	34	6	5	2	0.9928	0.9988	0	12.312	3.315	34	6	34	5
15	0	0.9955	0.9988	0	8.706	2.956	34	6	12	6	0.993	0.9988	0	12.087	3.293	34	6	34	5
16	0	0.9968	0.9988	0	7.508	2.646	34	6	19	5	0.9932	0.9988	0	11.817	3.255	34	6	34	5
17	0	0.9953	0.9988	0	7.545	2.695	34	6	28	9	0.9933	0.9988	0	11.58	3.224	34	6	34	5
18	0	0.9978	0.9988	0.8571	7.325	2.546	34	6	37	7	0.9936	0.9988	0	11.356	3.188	34	6	34	5
19	0	0.9967	0.9988	0	7.19	2.493	34	6	65	10	0.9937	0.9988	0	11.148	3.153	34	6	34	5
20	0	0.998	0.9988	0.9977	7.006	2.496	34	6	4	2	0.9939	0.9988	0	10.951	3.122	34	6	34	5
21	0	0.9966	0.9988	0	6.753	2.474	34	6	11	4	0.994	0.9988	0	10.76	3.092	34	6	34	5
22	0	0.9966	0.9988	0	6.614	2.425	34	6	12	4	0.9942	0.9988	0	10.579	3.063	34	6	34	5
