Run	Remaining Subpopulations
0	80
1	80
2	80
3	80
4	80
5	63
6	63
7	63
8	63
9	63
10	50
11	50
12	50
13	50
14	50
15	39
16	39
17	39
18	39
19	39
20	31
21	31
22	31
23	31
24	31
Timer Name	Value
CPU Time (ns):	764768782757
Wall Time (ms):	81268
CPU Cycles:	154954199729602431
Snapshot #	Snapshot Time(ms)	Value(Bytes)
1	6	776441856
2	7692	813109248
3	12097	828526592
4	15318	843612160
5	18748	860626944
6	22264	874754048
7	25305	890232832
8	27787	905117696
9	29977	922120192
10	31520	937275392
11	32645	950341632
12	39983	968384512
13	42584	981307392
14	44776	996036608
15	46949	1006686208
16	48869	1015791616
17	50474	1028096000
18	52001	1041158144
19	53149	1051656192
20	53976	1067945984
21	54496	1079214080
22	58117	1092710400
23	59361	1104977920
24	60591	1114783744
25	61821	1124753408
26	62916	1137340416
27	64015	1148469248
28	65085	1158422528
29	65857	1168732160
30	66521	1179361280
31	66975	1191505920
32	68981	1196482560
33	69698	1206849536
34	70326	1216094208
35	71057	1226321920
36	71745	1239224320
37	72395	1248145408
38	72969	1260503040
39	73487	1272373248
40	73865	1286037504
41	74146	1294888960
42	75687	1303642112
43	76176	1314553856
44	76762	1324822528
45	77291	1336569856
46	77885	1347649536
47	78346	1357750272
48	78851	1367638016
49	79264	1378201600
50	79630	1388113920
51	79856	1396539392
Aggregation Count:	24
Timer Name	Value
CPU Time (ns):	31865365948
Wall Time (ms):	74078
CPU Cycles:	6456424988733434
Snapshot #	Snapshot Time(ms)	Value(Bytes)
1	6	32351744
2	7692	33879552
3	12097	34521941
4	15318	35150506
5	18748	35859456
6	22264	36448085
7	25305	37093034
8	27787	37713237
9	29977	38421674
10	31520	39053141
11	32645	39597568
12	39983	40349354
13	42584	40887808
14	44776	41501525
15	46949	41945258
16	48869	42324650
17	50474	42837333
18	52001	43381589
19	53149	43819008
20	53976	44497749
21	54496	44967253
22	58117	45529600
23	59361	46040746
24	60591	46449322
25	61821	46864725
26	62916	47389184
27	64015	47852885
28	65085	48267605
29	65857	48697173
30	66521	49140053
31	66975	49646080
32	68981	49853440
33	69698	50285397
34	70326	50670592
35	71057	51096746
36	71745	51634346
37	72395	52006058
38	72969	52520960
39	73487	53015552
40	73865	53584896
41	74146	53953706
42	75687	54318421
43	76176	54773077
44	76762	55200938
45	77291	55690410
46	77885	56152064
47	78346	56572928
48	78851	56984917
49	79264	57425066
50	79630	57838080
51	79856	58189141
Hits	Total
2537	2810
Percent Hit:	90.2847%
Fitness
0.998892
Real|Predicted
Cammeo|Cammeo	Cammeo|Osmancik	Osmancik|Osmancik	Osmancik|Cammeo
1012	115	1525	156
GEN#	SUB#	μFGEN	FsBestGEN	FsWorstGEN	μTreeSzGEN	μTreeDpGEN	bTreeSzGEN	bTreeDpGEN	wTreeSzGEN	wTreeDpGEN	μFRUN	FsBestRUN	FsWorstRUN	μTreeSzRUN	μTreeDpRUN	bTreeSzRUN	bTreeDpRUN	wTreeSzRUN	wTreeDpRUN
0	0	0.957383	0.998421	0	17.5829	3.35021	34	4	43	5	0.957383	0.998421	0	17.5829	3.35021	34	4	43	5
1	0	0.991704	0.9986	0	15.7016	3.39125	33	4	39	6	0.974542	0.9986	0	16.6422	3.37067	33	4	43	5
2	0	0.992642	0.998712	0	15.1095	3.46067	33	5	33	6	0.980575	0.998712	0	16.1312	3.40067	33	5	43	5
3	0	0.992437	0.998746	0	14.5177	3.47254	31	5	31	6	0.983546	0.998746	0	15.7278	3.41879	31	5	43	5
