Run	Remaining Subpopulations
0	80
1	80
2	80
3	80
4	80
5	63
6	63
7	63
8	63
9	63
10	50
11	50
12	50
13	50
14	50
15	39
16	39
17	39
18	39
19	39
20	31
21	31
22	31
23	31
24	31
Timer Name	Value
CPU Time (ns):	38161219839
Wall Time (ms):	81268
CPU Cycles:	7747709845638494
Snapshot #	Snapshot Time(ms)	Value(Bytes)
1	8	32112640
2	9468	33435648
3	16311	34177024
4	20881	34545664
5	25946	35078144
6	29422	36597760
7	32121	36773888
8	34281	37875712
9	35006	39088128
10	35797	39038976
11	35910	39890944
12	40673	40280064
13	44192	40198144
14	47110	41148416
15	49408	41398272
16	51868	42229760
17	54170	43073536
18	55014	43790336
19	55632	44527616
20	55769	44347392
21	55874	44597248
22	58108	45707264
23	59863	46616576
24	61406	46993408
25	63257	47562752
26	64126	47620096
27	64453	47763456
28	66162	47980544
29	66844	48496640
30	67046	49360896
31	67264	50016256
32	69145	50765824
33	70313	50962432
34	71177	51138560
35	72085	51281920
36	72986	51240960
37	73712	52355072
38	74219	52506624
39	74437	52625408
40	74517	53739520
41	74568	54296576
42	75892	55230464
43	76203	55685120
44	76783	56610816
45	77256	56438784
46	77886	56979456
47	78519	57450496
48	78899	57905152
49	79495	58232832
50	79844	57827328
51	79926	58847232
Aggregation Count:	1
Timer Name	Value
CPU Time (ns):	38161219839
Wall Time (ms):	80735
CPU Cycles:	7747709845638494
Snapshot #	Snapshot Time(ms)	Value(Bytes)
1	8	32112640
2	9468	33435648
3	16311	34177024
4	20881	34545664
5	25946	35078144
6	29422	36597760
7	32121	36773888
8	34281	37875712
9	35006	39088128
10	35797	39038976
11	35910	39890944
12	40673	40280064
13	44192	40198144
14	47110	41148416
15	49408	41398272
16	51868	42229760
17	54170	43073536
18	55014	43790336
19	55632	44527616
20	55769	44347392
21	55874	44597248
22	58108	45707264
23	59863	46616576
24	61406	46993408
25	63257	47562752
26	64126	47620096
27	64453	47763456
28	66162	47980544
29	66844	48496640
30	67046	49360896
31	67264	50016256
32	69145	50765824
33	70313	50962432
34	71177	51138560
35	72085	51281920
36	72986	51240960
37	73712	52355072
38	74219	52506624
39	74437	52625408
40	74517	53739520
41	74568	54296576
42	75892	55230464
43	76203	55685120
44	76783	56610816
45	77256	56438784
46	77886	56979456
47	78519	57450496
48	78899	57905152
49	79495	58232832
50	79844	57827328
51	79926	58847232
Hits	Total
2623	2810
Percent Hit:	93.3452%
Fitness
0.998899
Real|Predicted
Cammeo|Cammeo	Cammeo|Osmancik	Osmancik|Osmancik	Osmancik|Cammeo
1005	111	1618	76
GEN#	SUB#	μFGEN	FsBestGEN	FsWorstGEN	μTreeSzGEN	μTreeDpGEN	bTreeSzGEN	bTreeDpGEN	wTreeSzGEN	wTreeDpGEN	μFRUN	FsBestRUN	FsWorstRUN	μTreeSzRUN	μTreeDpRUN	bTreeSzRUN	bTreeDpRUN	wTreeSzRUN	wTreeDpRUN
0	0	0.9619	0.9981	0	17.741	3.428	59	6	61	6	0.9619	0.9981	0	17.741	3.428	59	6	61	6
1	0	0.993	0.9981	0	15.915	3.49	33	5	42	9	0.9774	0.9981	0	16.828	3.459	33	5	61	6
2	0	0.9868	0.9987	0	14.204	3.481	37	5	43	8	0.9806	0.9987	0	15.953	3.466	37	5	61	6
3	0	0.9893	0.9987	0	14.321	3.584	37	5	18	6	0.9827	0.9987	0	15.545	3.496	37	5	61	6
4	0	0.9918	0.9987	0	13.164	3.522	37	5	31	6	0.9846	0.9987	0	15.069	3.501	37	5	61	6
5	0	0.9955	0.9987	0	11.701	3.45	37	5	62	8	0.9864	0.9987	0	14.508	3.493	37	5	61	6
6	0	0.9968	0.9987	0	10.894	3.236	37	5	38	8	0.9879	0.9987	0	13.991	3.456	37	5	61	6
7	0	0.9968	0.9987	0	11.835	3.391	37	5	39	8	0.989	0.9987	0	13.722	3.448	37	5	61	6
8	0	0.9968	0.9987	0	11.624	3.266	37	5	52	10	0.9899	0.9987	0	13.489	3.428	37	5	61	6
9	0	0.9918	0.9987	0	10.751	3.201	37	5	15	5	0.99	0.9987	0	13.215	3.405	37	5	61	6
10	0	0.9943	0.9987	0	11.25	3.317	37	5	8	3	0.9904	0.9987	0	13.036	3.397	37	5	61	6
11	0	0.9968	0.9987	0	10.554	3.228	37	5	16	5	0.991	0.9987	0	12.829	3.383	37	5	61	6
12	0	0.9955	0.9987	0	10.495	3.145	37	5	8	4	0.9913	0.9987	0	12.65	3.365	37	5	61	6
13	0	0.9968	0.9987	0	10.781	3.225	37	5	7	3	0.9917	0.9987	0	12.516	3.355	37	5	61	6
14	0	0.9943	0.9987	0	9.925	3.053	37	5	5	2	0.9919	0.9987	0	12.344	3.334	37	5	61	6
15	0	0.9955	0.9987	0	10.099	3.138	37	5	36	12	0.9921	0.9987	0	12.203	3.322	37	5	61	6
16	0	0.9968	0.9987	0	9.404	2.949	37	5	14	4	0.9924	0.9987	0	12.039	3.3	37	5	61	6
17	0	0.9955	0.9987	0	8.66	2.891	37	5	29	9	0.9926	0.9987	0	11.851	3.277	37	5	61	6
18	0	0.9955	0.9988	0	8.02	2.759	5	2	18	7	0.9927	0.9988	0	11.649	3.25	5	2	61	6
19	0	0.998	0.9988	0.9978	8.068	2.75	5	2	4	2	0.993	0.9988	0	11.47	3.225	5	2	61	6
20	0	0.998	0.9988	0.9979	7.836	2.669	5	2	11	4	0.9932	0.9988	0	11.297	3.199	5	2	61	6
21	0	0.998	0.9988	0.9979	7.235	2.575	5	2	5	2	0.9934	0.9988	0	11.113	3.17	5	2	61	6
22	0	0.998	0.9988	0.9972	7.075	2.533	5	2	15	6	0.9936	0.9988	0	10.937	3.143	5	2	61	6
23	0	0.998	0.9988	0.9979	7.711	2.716	5	2	2	1	0.9938	0.9988	0	10.803	3.125	5	2	61	6
24	0	0.9955	0.9988	0	7.527	2.664	5	2	25	8	0.9939	0.9988	0	10.672	3.106	5	2	61	6
25	0	0.998	0.9988	0.9978	7.669	2.739	5	2	15	6	0.9941	0.9988	0	10.556	3.092	5	2	61	6
26	0	0.993	0.9988	0	7.021	2.553	5	2	6	3	0.994	0.9988	0	10.425	3.072	5	2	61	6
27	0	0.998	0.9988	0.9977	6.739	2.476	5	2	13	5	0.9942	0.9988	0	10.294	3.051	5	2	61	6
28	0	0.998	0.9988	0.995	6.785	2.542	5	2	13	5	0.9943	0.9988	0	10.173	3.033	5	2	61	6
29	0	0.998	0.9989	0.9972	5.9	2.315	40	14	9	4	0.9944	0.9989	0	10.03	3.01	40	14	61	6
30	0	0.9968	0.9989	0	5.479	2.166	40	14	31	8	0.9945	0.9989	0	9.883	2.982	40	14	61	6
31	0	0.998	0.9989	0.9978	5.173	2.049	40	14	7	4	0.9946	0.9989	0	9.736	2.953	40	14	61	6
32	0	0.998	0.9989	0.9971	5.055	2.004	40	14	3	1	0.9947	0.9989	0	9.594	2.924	40	14	61	6
33	0	0.998	0.9989	0.9971	5.001	2.024	40	14	3	1	0.9948	0.9989	0	9.459	2.898	40	14	61	6
34	0	0.9968	0.9989	0	4.956	1.96	40	14	16	5	0.9949	0.9989	0	9.331	2.871	40	14	61	6
35	0	0.998	0.9989	0.9979	5.107	2.024	38	14	6	3	0.995	0.9989	0	9.213	2.848	38	14	61	6
