Run	Remaining Subpopulations
Timer Name	Value
CPU Time (ns):	162594844790
Wall Time (ms):	6786
CPU Cycles:	77481848073527258
Snapshot #	Snapshot Time(ms)	Value(Bytes)
1	5	325877760
2	292	344248320
3	510	352194560
4	730	359194624
5	928	363827200
6	1126	370434048
7	1330	376291328
8	1507	382648320
9	1699	388669440
10	1847	394989568
11	1994	400330752
12	2155	405495808
13	2296	410779648
14	2442	414707712
15	2574	420212736
16	2706	424095744
17	2846	430182400
18	2990	435924992
19	3099	441409536
20	3219	446042112
21	3367	453009408
22	3493	458072064
23	3603	462594048
24	3705	465518592
25	3824	469565440
26	3944	476340224
27	4067	480530432
28	4162	481984512
29	4262	486719488
30	4377	489365504
31	4482	492929024
32	4576	499208192
33	4666	504991744
34	4758	508329984
35	4853	513859584
36	4963	519163904
37	5047	523091968
38	5139	527659008
39	5225	532824064
40	5326	537100288
41	5413	541671424
42	5493	544043008
43	5579	547102720
44	5652	550420480
45	5733	556306432
46	5811	559251456
47	5884	563855360
48	5946	568180736
49	6008	571367424
50	6069	576737280
51	6125	579735552
Aggregation Count:	10
Timer Name	Value
CPU Time (ns):	16259484479
Wall Time (ms):	6172
CPU Cycles:	7748184807352725
Snapshot #	Snapshot Time(ms)	Value(Bytes)
1	5	32587776
2	292	34424832
3	510	35219456
4	730	35919462
5	928	36382720
6	1126	37043404
7	1330	37629132
8	1507	38264832
9	1699	38866944
10	1847	39498956
11	1994	40033075
12	2155	40549580
13	2296	41077964
14	2442	41470771
15	2574	42021273
16	2706	42409574
17	2846	43018240
18	2990	43592499
19	3099	44140953
20	3219	44604211
21	3367	45300940
22	3493	45807206
23	3603	46259404
24	3705	46551859
25	3824	46956544
26	3944	47634022
27	4067	48053043
28	4162	48198451
29	4262	48671948
30	4377	48936550
31	4482	49292902
32	4576	49920819
33	4666	50499174
34	4758	50832998
35	4853	51385958
36	4963	51916390
37	5047	52309196
38	5139	52765900
39	5225	53282406
40	5326	53710028
41	5413	54167142
42	5493	54404300
43	5579	54710272
44	5652	55042048
45	5733	55630643
46	5811	55925145
47	5884	56385536
48	5946	56818073
49	6008	57136742
50	6069	57673728
51	6125	57973555
Hits	Total
2204	2810
Percent Hit:	78.4342%
Fitness
0.998755
Real|Predicted
Cammeo|Cammeo	Cammeo|Osmancik	Osmancik|Osmancik	Osmancik|Cammeo
994	125	1210	480
GEN#	SUB#	μFGEN	FsBestGEN	FsWorstGEN	μTreeSzGEN	μTreeDpGEN	bTreeSzGEN	bTreeDpGEN	wTreeSzGEN	wTreeDpGEN	μFRUN	FsBestRUN	FsWorstRUN	μTreeSzRUN	μTreeDpRUN	bTreeSzRUN	bTreeDpRUN	wTreeSzRUN	wTreeDpRUN
0	0	0.9586	0.99844	0	17.4592	3.3478	22	4	58	5	0.9586	0.99844	0	17.4592	3.3478	22	4	58	5
1	0	0.98968	0.99855	0	15.499	3.4215	17	3	44	5	0.97412	0.99855	0	16.479	3.3846	17	3	58	5
2	0	0.9929	0.99855	0	14.6036	3.4282	17	3	34	6	0.98039	0.99855	0	15.8539	3.3992	17	3	58	5
3	0	0.99265	0.99855	0	13.6681	3.3867	17	3	39	6	0.98345	0.99855	0	15.3075	3.396	17	3	58	5
4	0	0.99361	0.99856	0.09979	12.8834	3.366	20	3	34	6	0.98549	0.99856	0	14.8229	3.3899	20	3	58	5
5	0	0.99428	0.99862	0	12.4768	3.3946	28	4	34	7	0.98695	0.99862	0	14.4316	3.3908	28	4	58	5
6	0	0.99505	0.99862	0.09932	11.9116	3.3307	28	4	32	7	0.98811	0.99862	0	14.0716	3.3823	28	4	58	5
7	0	0.99405	0.99863	0	11.5461	3.2918	18	3	30	7	0.98883	0.99863	0	13.7559	3.371	18	3	58	5
8	0	0.99603	0.99863	0.39878	10.7643	3.2013	18	3	39	7	0.98965	0.99863	0	13.4235	3.3521	18	3	58	5
9	0	0.9949	0.99864	0.09979	10.2633	3.1152	15	4	40	7	0.99017	0.99864	0	13.1075	3.3285	15	4	58	5
10	0	0.99566	0.99864	0	9.9683	3.0771	15	4	25	6	0.99069	0.99864	0	12.8222	3.3057	15	4	58	5
11	0	0.99552	0.99864	0	9.8797	3.0997	15	4	30	7	0.99108	0.99864	0	12.577	3.2884	15	4	58	5
12	0	0.99638	0.99864	0.19935	9.616	3.0567	15	4	32	8	0.99148	0.99864	0	12.3492	3.2706	15	4	58	5
13	0	0.99653	0.9987	0.29894	9.1503	2.9734	15	4	27	7	0.99185	0.9987	0	12.1207	3.2493	15	4	58	5
14	0	0.99676	0.9987	0.49882	8.7517	2.8653	14	3	25	5	0.99218	0.9987	0	11.8962	3.2238	14	3	58	5
15	0	0.99727	0.9987	0.49852	8.3046	2.7623	14	3	27	6	0.99248	0.9987	0	11.6718	3.1949	14	3	58	5
16	0	0.99714	0.9987	0.49868	7.989	2.6609	14	3	25	6	0.99277	0.9987	0	11.4549	3.1636	14	3	58	5
17	0	0.99691	0.9987	0.29937	7.6464	2.5837	13	3	31	7	0.99299	0.9987	0	11.2436	3.1312	13	3	58	5
18	0	0.99665	0.9987	0.29917	7.4251	2.5427	13	3	24	6	0.99318	0.9987	0	11.0426	3.1003	13	3	58	5
19	0	0.99666	0.9987	0.29933	7.0693	2.4685	18	4	20	5	0.99336	0.9987	0	10.8438	3.0687	18	4	58	5
20	0	0.99666	0.9987	0.39903	6.883	2.4389	18	4	18	5	0.99352	0.9987	0	10.6551	3.0387	18	4	58	5
21	0	0.99753	0.99872	0.69819	6.7148	2.3917	17	4	19	5	0.9937	0.99872	0	10.4761	3.0094	17	4	58	5
22	0	0.99689	0.99872	0.49887	6.5701	2.3476	17	4	13	4	0.99385	0.99872	0	10.3063	2.9804	17	4	58	5
23	0	0.9969	0.99872	0.39902	6.419	2.3315	17	4	18	5	0.99394	0.99872	0	10.1443	2.9534	17	4	58	5
24	0	0.99728	0.99872	0.39893	6.386	2.3402	17	4	13	4	0.99412	0.99872	0	9.9939	2.9289	17	4	58	5
25	0	0.99739	0.99872	0.59836	6.2473	2.295	15	4	12	4	0.99422	0.99872	0	9.85	2.9046	15	4	58	5
26	0	0.99764	0.99872	0.79763	6.0652	2.2278	15	4	24	6	0.99436	0.99872	0	9.7095	2.8795	15	4	58	5
27	0	0.99741	0.99872	0.59848	5.7791	2.1682	15	4	14	4	0.99447	0.99872	0	9.5693	2.8541	15	4	58	5
28	0	0.99752	0.99872	0.79817	5.6809	2.1348	15	4	11	4	0.99457	0.99872	0	9.4351	2.8292	15	4	58	5
29	0	0.99727	0.99872	0.49875	5.5199	2.0833	15	4	12	5	0.99467	0.99872	0	9.3046	2.8044	15	4	58	5
30	0	0.99715	0.99872	0.59873	5.4534	2.0567	15	4	10	3	0.99475	0.99872	0	9.1804	2.7803	15	4	58	5
31	0	0.99727	0.99873	0.49841	5.3903	2.0219	16	4	12	4	0.99481	0.99873	0	9.0619	2.7567	16	4	58	5
32	0	0.99787	0.99873	0.89739	5.3307	1.9969	16	4	11	3	0.9949	0.99873	0	8.949	2.7334	16	4	58	5
33	0	0.99764	0.99873	0.69804	5.3059	1.9772	16	4	14	3	0.99499	0.99873	0	8.8418	2.7113	16	4	58	5
34	0	0.99751	0.99873	0.79755	5.2424	1.9621	16	4	15	4	0.99507	0.99873	0	8.7389	2.69	16	4	58	5
35	0	0.99689	0.99873	0.29934	5.2651	1.9783	16	4	13	4	0.99511	0.99873	0	8.6425	2.6703	16	4	58	5
36	0	0.99763	0.99873	0.69787	5.2188	1.9628	16	4	13	4	0.99521	0.99873	0	8.5498	2.6511	16	4	58	5
37	0	0.99727	0.99873	0.59802	5.2334	1.9706	16	4	16	4	0.99523	0.99873	0	8.4627	2.6333	16	4	58	5
