Run	Remaining Subpopulations
Timer Name	Value
CPU Time (ns):	15098635686
Wall Time (ms):	6786
CPU Cycles:	7748183989907255
Snapshot #	Snapshot Time(ms)	Value(Bytes)
1	8	32501760
2	264	34816000
3	480	35479552
4	663	35614720
5	858	36384768
6	1097	37322752
7	1289	37171200
8	1406	37634048
9	1548	38404096
10	1658	39256064
11	1757	39415808
12	1917	39493632
13	2066	40431616
14	2247	40845312
15	2352	41664512
16	2474	42020864
17	2608	42795008
18	2765	43823104
19	2914	44163072
20	3034	44179456
21	3170	44994560
22	3287	45015040
23	3455	45662208
24	3528	45850624
25	3674	46428160
26	3777	47124480
27	3922	47636480
28	3991	47357952
29	4072	47755264
30	4157	48013312
31	4249	49012736
32	4341	49922048
33	4440	50483200
34	4543	50401280
35	4577	50679808
36	4681	51097600
37	4746	51593216
38	4845	51789824
39	4922	52625408
40	5018	52940800
41	5126	53252096
42	5203	53309440
43	5297	53358592
44	5345	54087680
45	5445	54198272
46	5546	54239232
47	5637	55238656
48	5715	55848960
49	5774	55906304
50	5861	56393728
51	5923	57044992
Aggregation Count:	1
Timer Name	Value
CPU Time (ns):	15098635686
Wall Time (ms):	5988
CPU Cycles:	7748183989907255
Snapshot #	Snapshot Time(ms)	Value(Bytes)
1	8	32501760
2	264	34816000
3	480	35479552
4	663	35614720
5	858	36384768
6	1097	37322752
7	1289	37171200
8	1406	37634048
9	1548	38404096
10	1658	39256064
11	1757	39415808
12	1917	39493632
13	2066	40431616
14	2247	40845312
15	2352	41664512
16	2474	42020864
17	2608	42795008
18	2765	43823104
19	2914	44163072
20	3034	44179456
21	3170	44994560
22	3287	45015040
23	3455	45662208
24	3528	45850624
25	3674	46428160
26	3777	47124480
27	3922	47636480
28	3991	47357952
29	4072	47755264
30	4157	48013312
31	4249	49012736
32	4341	49922048
33	4440	50483200
34	4543	50401280
35	4577	50679808
36	4681	51097600
37	4746	51593216
38	4845	51789824
39	4922	52625408
40	5018	52940800
41	5126	53252096
42	5203	53309440
43	5297	53358592
44	5345	54087680
45	5445	54198272
46	5546	54239232
47	5637	55238656
48	5715	55848960
49	5774	55906304
50	5861	56393728
51	5923	57044992
Hits	Total
2609	2810
Percent Hit:	92.847%
Fitness
0.998922
Real|Predicted
Cammeo|Cammeo	Cammeo|Osmancik	Osmancik|Osmancik	Osmancik|Cammeo
1051	75	1558	126
GEN#	SUB#	μFGEN	FsBestGEN	FsWorstGEN	μTreeSzGEN	μTreeDpGEN	bTreeSzGEN	bTreeDpGEN	wTreeSzGEN	wTreeDpGEN	μFRUN	FsBestRUN	FsWorstRUN	μTreeSzRUN	μTreeDpRUN	bTreeSzRUN	bTreeDpRUN	wTreeSzRUN	wTreeDpRUN
0	0	0.9469	0.9987	0	17.666	3.285	15	5	61	6	0.9469	0.9987	0	17.666	3.285	15	5	61	6
1	0	0.9918	0.9987	0	14.659	3.229	15	5	54	6	0.9693	0.9987	0	16.163	3.257	15	5	61	6
2	0	0.9943	0.9987	0	13.774	3.226	15	5	30	7	0.9776	0.9987	0	15.366	3.247	15	5	61	6
3	0	0.993	0.9987	0	13.019	3.19	15	5	50	6	0.9815	0.9987	0	14.779	3.232	15	5	61	6
4	0	0.993	0.9987	0	12.6	3.268	15	5	35	7	0.9838	0.9987	0	14.344	3.24	15	5	61	6
5	0	0.9943	0.9987	0	11.713	3.314	15	5	33	9	0.9855	0.9987	0	13.905	3.252	15	5	61	6
6	0	0.9943	0.9987	0	10.464	3.176	15	5	14	4	0.9868	0.9987	0	13.413	3.241	15	5	61	6
7	0	0.9968	0.9987	0	10.035	3.135	15	5	16	6	0.988	0.9987	0	12.991	3.228	15	5	61	6
8	0	0.998	0.9987	0.9947	9.285	2.993	15	5	9	3	0.9891	0.9987	0	12.579	3.202	15	5	61	6
9	0	0.9968	0.9987	0	8.938	2.926	15	5	59	7	0.9899	0.9987	0	12.215	3.174	15	5	61	6
