Run	Remaining Subpopulations
0	0
1	0
2	0
3	0
4	0
Timer Name	Value
CPU Time (ns):	5326726543
Wall Time (ms):	2285
CPU Cycles:	7708538987306162
Snapshot #	Snapshot Time(ms)	Value(Bytes)
1	4	30392320
2	92	31965184
3	175	32489472
4	267	33275904
5	339	34062336
6	390	34324480
7	451	34586624
8	527	35110912
9	592	35897344
10	630	36683776
11	685	37470208
12	738	37994496
13	792	37994496
14	840	38518784
15	889	38744064
16	917	39268352
17	951	39792640
18	991	40046592
19	1035	40308736
20	1065	40833024
21	1085	41095168
22	1112	41619456
23	1152	42143744
24	1193	42930176
25	1229	43139072
26	1261	43401216
27	1300	43663360
28	1337	44974080
29	1366	44974080
30	1404	45498368
31	1435	45498368
32	1474	46022656
33	1494	46284800
34	1517	46284800
35	1546	46546944
36	1576	47595520
37	1606	47857664
38	1643	47857664
39	1669	48644096
40	1715	48345088
41	1747	48869376
42	1786	49131520
43	1822	49655808
44	1858	50180096
45	1899	50966528
46	1933	51228672
47	1964	51486720
48	1995	52273152
49	2028	53059584
50	2057	53059584
51	2090	53583872
Aggregation Count:	1
Timer Name	Value
CPU Time (ns):	5326726543
Wall Time (ms):	2124
CPU Cycles:	7708538987306162
Snapshot #	Snapshot Time(ms)	Value(Bytes)
1	4	30392320
2	92	31965184
3	175	32489472
4	267	33275904
5	339	34062336
6	390	34324480
7	451	34586624
8	527	35110912
9	592	35897344
10	630	36683776
11	685	37470208
12	738	37994496
13	792	37994496
14	840	38518784
15	889	38744064
16	917	39268352
17	951	39792640
18	991	40046592
19	1035	40308736
20	1065	40833024
21	1085	41095168
22	1112	41619456
23	1152	42143744
24	1193	42930176
25	1229	43139072
26	1261	43401216
27	1300	43663360
28	1337	44974080
29	1366	44974080
30	1404	45498368
31	1435	45498368
32	1474	46022656
33	1494	46284800
34	1517	46284800
35	1546	46546944
36	1576	47595520
37	1606	47857664
38	1643	47857664
39	1669	48644096
40	1715	48345088
41	1747	48869376
42	1786	49131520
43	1822	49655808
44	1858	50180096
45	1899	50966528
46	1933	51228672
47	1964	51486720
48	1995	52273152
49	2028	53059584
50	2057	53059584
51	2090	53583872
Hits	Total
2433	2810
Percent Hit:	86.5836%
Fitness
0.99884
Real|Predicted
Cammeo|Cammeo	Cammeo|Osmancik	Osmancik|Osmancik	Osmancik|Cammeo
974	156	1459	221
GEN#	SUB#	μFGEN	FsBestGEN	FsWorstGEN	μTreeSzGEN	μTreeDpGEN	bTreeSzGEN	bTreeDpGEN	wTreeSzGEN	wTreeDpGEN	μFRUN	FsBestRUN	FsWorstRUN	μTreeSzRUN	μTreeDpRUN	bTreeSzRUN	bTreeDpRUN	wTreeSzRUN	wTreeDpRUN
0	0	0.9606	0.9981	0	17.886	3.342	66	6	10	4	0.9606	0.9981	0	17.886	3.342	66	6	10	4
1	0	0.9905	0.9982	0	17.183	3.553	3	1	43	6	0.9755	0.9982	0	17.534	3.447	3	1	10	4
2	0	0.993	0.9982	0	15.344	3.519	10	4	32	7	0.9814	0.9982	0	16.804	3.471	10	4	10	4
3	0	0.993	0.9988	0	15.088	3.542	14	5	31	7	0.9843	0.9988	0	16.375	3.489	14	5	10	4
4	0	0.993	0.9988	0	14.285	3.527	14	5	10	3	0.986	0.9988	0	15.957	3.497	14	5	10	4
5	0	0.9955	0.9988	0	13.235	3.54	14	5	41	7	0.9876	0.9988	0	15.503	3.504	14	5	10	4
6	0	0.9943	0.9988	0	12.113	3.394	14	5	19	7	0.9886	0.9988	0	15.019	3.488	14	5	10	4
7	0	0.9955	0.9988	0	10.921	3.169	14	5	23	8	0.9894	0.9988	0	14.507	3.448	14	5	10	4
8	0	0.9968	0.9988	0	10.356	3.12	14	5	17	6	0.9902	0.9988	0	14.046	3.412	14	5	10	4
9	0	0.993	0.9988	0	10.121	3.095	14	5	18	8	0.9905	0.9988	0	13.653	3.38	14	5	10	4
10	0	0.9955	0.9988	0	9.334	3.007	14	5	40	8	0.991	0.9988	0	13.26	3.346	14	5	10	4
11	0	0.9968	0.9988	0	8.482	2.806	14	5	14	6	0.9915	0.9988	0	12.862	3.301	14	5	10	4
12	0	0.9955	0.9988	0	7.825	2.694	14	5	20	7	0.9918	0.9988	0	12.475	3.255	14	5	10	4
13	0	0.998	0.9988	0.9971	7.711	2.686	14	5	16	5	0.9922	0.9988	0	12.135	3.214	14	5	10	4
14	0	0.998	0.9988	0.9973	7.505	2.681	14	5	20	7	0.9926	0.9988	0	11.826	3.178	14	5	10	4
15	0	0.9968	0.9988	0	6.775	2.455	14	5	13	5	0.9929	0.9988	0	11.51	3.133	14	5	10	4
16	0	0.998	0.9988	0.9955	6.184	2.292	14	5	21	7	0.9932	0.9988	0	11.197	3.084	14	5	10	4
17	0	0.998	0.9988	0.9979	6.261	2.353	14	5	15	6	0.9934	0.9988	0	10.923	3.043	14	5	10	4
18	0	0.998	0.9988	0.9979	6.139	2.373	14	5	5	2	0.9937	0.9988	0	10.671	3.008	14	5	10	4
19	0	0.998	0.9988	0.9978	6.534	2.54	14	5	15	6	0.9939	0.9988	0	10.464	2.984	14	5	10	4
20	0	0.998	0.9988	0.9978	6.505	2.571	14	5	8	3	0.9941	0.9988	0	10.276	2.965	14	5	10	4
21	0	0.998	0.9988	0.998	6.3	2.441	14	5	15	5	0.9943	0.9988	0	10.095	2.941	14	5	10	4
22	0	0.998	0.9988	0.9979	6.421	2.546	14	5	6	3	0.9944	0.9988	0	9.935	2.924	14	5	10	4
23	0	0.998	0.9988	0.998	6.053	2.368	14	5	1	0	0.9946	0.9988	0	9.773	2.901	14	5	10	4
24	0	0.9968	0.9988	0	5.935	2.331	14	5	33	13	0.9947	0.9988	0	9.62	2.878	14	5	10	4
25	0	0.998	0.9988	0.9978	5.609	2.216	14	5	6	3	0.9948	0.9988	0	9.466	2.852	14	5	10	4
26	0	0.9955	0.9988	0	5.508	2.197	14	5	12	5	0.9948	0.9988	0	9.319	2.828	14	5	10	4
27	0	0.998	0.9988	0.998	5.431	2.136	14	5	16	5	0.9949	0.9988	0	9.18	2.803	14	5	10	4
28	0	0.998	0.9988	0.998	5.325	2.091	14	5	10	4	0.995	0.9988	0	9.047	2.779	14	5	10	4
29	0	0.998	0.9988	0.9979	5.428	2.094	14	5	8	4	0.9951	0.9988	0	8.927	2.756	14	5	10	4
30	0	0.9955	0.9988	0	5.223	2.024	14	5	12	5	0.9951	0.9988	0	8.807	2.732	14	5	10	4
31	0	0.9968	0.9988	0	5.393	2.121	14	5	12	5	0.9952	0.9988	0	8.7	2.713	14	5	10	4
32	0	0.9955	0.9988	0	5.593	2.184	14	5	15	4	0.9952	0.9988	0	8.606	2.697	14	5	10	4
33	0	0.9968	0.9988	0	5.218	2.071	14	5	21	8	0.9953	0.9988	0	8.506	2.679	14	5	10	4
34	0	0.9968	0.9988	0	5.039	1.974	14	5	27	9	0.9953	0.9988	0	8.407	2.659	14	5	10	4
35	0	0.998	0.9988	0.998	5.044	2.011	14	5	11	6	0.9954	0.9988	0	8.314	2.641	14	5	10	4
36	0	0.9968	0.9988	0	4.984	1.965	14	5	10	4	0.9954	0.9988	0	8.224	2.622	14	5	10	4
