Run	Remaining Subpopulations
0	0
1	0
2	0
3	0
4	0
Timer Name	Value
CPU Time (ns):	242034404001
Wall Time (ms):	25661
CPU Cycles:	300629141653568815
Snapshot #	Snapshot Time(ms)	Value(Bytes)
1	8	3619258368
2	1399	3819737088
3	2256	3891732480
4	3099	3968724992
5	3908	4045074432
6	4747	4119412736
7	5520	4192423936
8	6244	4260814848
9	6948	4327137280
10	7611	4398010368
11	8257	4464947200
12	8883	4526288896
13	9460	4588544000
14	10034	4651536384
15	10583	4711137280
16	11116	4766371840
17	11640	4821823488
18	12147	4880982016
19	12636	4929855488
20	13111	4989202432
21	13572	5041479680
22	14039	5100294144
23	14500	5159882752
24	14921	5212925952
25	15344	5267173376
26	15770	5320777728
27	16173	5368090624
28	16581	5413937152
29	16966	5466484736
30	17355	5516087296
31	17749	5567528960
32	18134	5618294784
33	18509	5670748160
34	18870	5720530944
35	19219	5764685824
36	19581	5814632448
37	19935	5866946560
38	20276	5920260096
39	20618	5965058048
40	20957	6017748992
41	21279	6066671616
42	21599	6115405824
43	21901	6161240064
44	22194	6212026368
45	22486	6256746496
46	22767	6303850496
47	23032	6350012416
48	23279	6397308928
49	23515	6437126144
50	23741	6482108416
51	23942	6531444736
Aggregation Count:	120
Timer Name	Value
CPU Time (ns):	2016953366
Wall Time (ms):	8389
CPU Cycles:	2505242847113073
Snapshot #	Snapshot Time(ms)	Value(Bytes)
1	8	30160486
2	1399	31831142
3	2256	32431104
4	3099	33072708
5	3908	33708953
6	4747	34328439
7	5520	34936866
8	6244	35506790
9	6948	36059477
10	7611	36650086
11	8257	37207893
12	8883	37719074
13	9460	38237866
14	10034	38762803
15	10583	39259477
16	11116	39719765
17	11640	40181862
18	12147	40674850
19	12636	41082129
20	13111	41576686
21	13572	42012330
22	14039	42502451
23	14500	42999022
24	14921	43441049
25	15344	43893111
26	15770	44339814
27	16173	44734088
28	16581	45116142
29	16966	45554039
30	17355	45967394
31	17749	46396074
32	18134	46819123
33	18509	47256234
34	18870	47671091
35	19219	48039048
36	19581	48455270
37	19935	48891221
38	20276	49335500
39	20618	49708817
40	20957	50147908
41	21279	50555596
42	21599	50961715
43	21901	51343667
44	22194	51766886
45	22486	52139554
46	22767	52532087
47	23032	52916770
48	23279	53310907
49	23515	53642717
50	23741	54017570
51	23942	54428706
Hits	Total
2293	2810
Percent Hit:	81.6014%
Fitness
0.998778
Real|Predicted
Cammeo|Cammeo	Cammeo|Osmancik	Osmancik|Osmancik	Osmancik|Cammeo
956	173	1337	343
GEN#	SUB#	μFGEN	FsBestGEN	FsWorstGEN	μTreeSzGEN	μTreeDpGEN	bTreeSzGEN	bTreeDpGEN	wTreeSzGEN	wTreeDpGEN	μFRUN	FsBestRUN	FsWorstRUN	μTreeSzRUN	μTreeDpRUN	bTreeSzRUN	bTreeDpRUN	wTreeSzRUN	wTreeDpRUN
0	0	0.959395	0.998359	0	17.5531	3.34637	27	4	45	5	0.959395	0.998359	0	17.5531	3.34637	27	4	45	5
1	0	0.990287	0.998423	0	15.7232	3.41505	29	4	39	6	0.974837	0.998423	0	16.6382	3.3807	29	4	45	5
2	0	0.992177	0.998479	0	14.9484	3.46531	27	4	40	6	0.980619	0.998479	0	16.075	3.40894	27	4	45	5
3	0	0.992602	0.998525	0.0166267	14.2663	3.47844	26	4	33	6	0.983612	0.998525	0	15.6228	3.42628	26	4	45	5
4	0	0.993239	0.99856	0.0249375	13.6788	3.47374	25	4	34	6	0.985543	0.99856	0	15.234	3.43582	25	4	45	5
5	0	0.994275	0.998583	0.06546	13.0536	3.44343	24	4	38	7	0.986993	0.998583	0	14.8706	3.43703	24	4	45	5
6	0	0.994787	0.99861	0.108035	12.4755	3.40062	24	4	38	7	0.988113	0.99861	0	14.5284	3.43186	24	4	45	5
7	0	0.99527	0.998621	0.149643	11.8902	3.35349	24	4	33	7	0.989008	0.998621	0	14.1987	3.42205	24	4	45	5
8	0	0.995317	0.998643	0.124652	11.3169	3.29349	24	5	29	6	0.989709	0.998643	0	13.8784	3.40776	24	5	45	5
9	0	0.99575	0.998653	0.196532	10.8137	3.22972	23	5	30	7	0.99031	0.998653	0	13.5719	3.38993	23	5	45	5
10	0	0.99549	0.998658	0.182599	10.4197	3.1727	23	5	30	6	0.990787	0.998658	0	13.2854	3.37021	23	5	45	5
11	0	0.996015	0.998663	0.263008	9.91457	3.08833	23	5	29	6	0.991221	0.998663	0	13.0045	3.3467	23	5	45	5
12	0	0.996227	0.998675	0.207133	9.55808	3.02802	23	5	28	6	0.991606	0.998675	0	12.7394	3.32218	23	5	45	5
13	0	0.996337	0.998683	0.282668	9.22753	2.97486	23	5	29	6	0.991943	0.998683	0	12.4885	3.29738	23	5	45	5
14	0	0.996091	0.998693	0.207663	8.83943	2.90529	23	5	28	6	0.992222	0.998693	0	12.2453	3.27128	23	5	45	5
15	0	0.99665	0.998701	0.340639	8.48281	2.83672	23	5	23	6	0.992496	0.998701	0	12.0102	3.24408	23	5	45	5
16	0	0.996574	0.998704	0.34814	8.22654	2.77503	23	5	22	6	0.992735	0.998704	0	11.7875	3.21653	23	5	45	5
17	0	0.996786	0.998709	0.431973	7.84917	2.69195	23	5	19	5	0.992965	0.998709	0	11.5688	3.18736	23	5	45	5
18	0	0.997043	0.998709	0.506448	7.60182	2.6298	22	5	19	5	0.993175	0.998709	0	11.36	3.15808	22	5	45	5
19	0	0.996938	0.998712	0.398994	7.35367	2.56678	21	5	19	5	0.993363	0.998712	0	11.1597	3.12844	21	5	45	5
20	0	0.997016	0.998715	0.465422	7.16722	2.51977	21	5	19	5	0.99354	0.998715	0	10.9696	3.09947	21	5	45	5
21	0	0.996873	0.998722	0.439902	6.95001	2.46263	20	5	20	5	0.993689	0.998722	0	10.7868	3.07054	20	5	45	5
22	0	0.997028	0.998732	0.440421	6.74787	2.41218	21	5	19	5	0.993834	0.998732	0	10.6112	3.04192	21	5	45	5
23	0	0.997036	0.998733	0.465495	6.53928	2.35667	21	5	17	5	0.993964	0.998733	0	10.4415	3.01337	21	5	45	5
24	0	0.997033	0.998733	0.456892	6.36154	2.31113	20	5	18	5	0.99409	0.998733	0	10.2784	2.98528	20	5	45	5
25	0	0.996954	0.998735	0.457067	6.20203	2.27137	20	5	15	4	0.994199	0.998735	0	10.1216	2.95781	20	5	45	5
26	0	0.997215	0.998738	0.573536	6.05217	2.22675	20	5	17	5	0.994315	0.998738	0	9.97085	2.93074	20	5	45	5
27	0	0.997343	0.99874	0.627041	5.91207	2.1946	20	5	14	4	0.994427	0.99874	0	9.82592	2.90442	20	5	45	5
28	0	0.997336	0.998744	0.552487	5.81688	2.16911	20	5	14	4	0.994521	0.998744	0	9.68766	2.8791	20	5	45	5
29	0	0.997282	0.998747	0.547284	5.71666	2.13738	21	5	13	4	0.994612	0.998747	0	9.5553	2.85436	21	5	45	5
30	0	0.997162	0.998749	0.556836	5.63621	2.11253	20	5	14	4	0.994699	0.998749	0	9.42884	2.83045	20	5	45	5
31	0	0.997529	0.998752	0.714771	5.52047	2.07938	20	5	12	4	0.994786	0.998752	0	9.30672	2.80694	20	5	45	5
32	0	0.997427	0.998752	0.671517	5.48725	2.07114	20	5	12	4	0.99487	0.998752	0	9.19103	2.78465	20	5	45	5
33	0	0.997513	0.998756	0.664322	5.39358	2.04406	20	5	12	4	0.994941	0.998756	0	9.07929	2.76289	20	5	45	5
34	0	0.997458	0.998757	0.655906	5.30378	2.01759	20	5	12	4	0.995015	0.998757	0	8.97142	2.74156	20	5	45	5
35	0	0.997515	0.998757	0.656345	5.25648	2.00025	20	5	12	4	0.995088	0.998757	0	8.86829	2.72099	20	5	45	5
36	0	0.997511	0.998758	0.731098	5.20172	1.98605	20	5	11	3	0.995147	0.998758	0	8.76914	2.70112	20	5	45	5
37	0	0.997533	0.998758	0.681244	5.16824	1.97263	20	5	13	4	0.995213	0.998758	0	8.67441	2.68195	20	5	45	5
38	0	0.997306	0.99876	0.556493	5.10938	1.95713	20	5	11	4	0.995265	0.99876	0	8.58298	2.66335	20	5	45	5
39	0	0.997367	0.99876	0.589933	5.06628	1.94438	20	5	12	4	0.995321	0.99876	0	8.49508	2.64533	20	5	45	5
40	0	0.997442	0.998762	0.639658	5.00352	1.92347	20	5	11	4	0.995371	0.998762	0	8.40988	2.62775	20	5	45	5
41	0	0.997349	0.998764	0.573545	4.99571	1.91846	19	5	10	3	0.995418	0.998764	0	8.32857	2.61087	19	5	45	5
42	0	0.997546	0.998766	0.698169	4.9679	1.90534	19	5	10	3	0.995469	0.998766	0	8.25045	2.5945	19	5	45	5
43	0	0.997463	0.998767	0.623233	4.93704	1.89224	19	5	11	4	0.995512	0.998767	0	8.17516	2.57857	19	5	45	5
44	0	0.997468	0.998767	0.693716	4.94549	1.89075	19	5	11	3	0.995559	0.998767	0	8.1034	2.56325	19	5	45	5
45	0	0.997484	0.998771	0.656568	4.97006	1.89938	19	5	11	4	0.995598	0.998771	0	8.03528	2.54879	19	5	45	5
46	0	0.997559	0.998772	0.6976	4.98259	1.90468	19	5	11	3	0.995638	0.998772	0	7.97033	2.53513	19	5	45	5
47	0	0.997552	0.998772	0.681022	4.94383	1.88991	19	5	10	3	0.995682	0.998772	0	7.90726	2.52169	19	5	45	5
48	0	0.997604	0.998772	0.685208	4.9142	1.88112	19	5	10	3	0.995722	0.998772	0	7.84619	2.50859	19	5	45	5
