Run	Remaining Subpopulations
0	0
1	0
2	0
3	0
4	0
Timer Name	Value
CPU Time (ns):	0
Wall Time (ms):	25661
CPU Cycles:	0
Snapshot #	Snapshot Time(ms)	Value(Bytes)
1	9	30289920
2	1034	32387072
3	1300	33173504
4	2399	33697792
5	3368	34746368
6	4230	35008512
7	5073	35794944
8	5583	36057088
9	5985	36319232
10	6568	36540416
11	7172	37064704
12	7824	37326848
13	8338	37851136
14	8914	38113280
15	9297	38375424
16	9894	39424000
17	10324	39948288
18	10830	40472576
19	11365	40996864
20	11815	41259008
21	12225	41783296
22	12706	42307584
23	13090	42831872
24	13567	43356160
25	14041	43880448
26	14477	44404736
27	14797	44666880
28	15249	44904448
29	15608	45428736
30	15966	46215168
31	16310	46477312
32	16566	47001600
33	16958	47525888
34	17250	47517696
35	17702	47779840
36	18076	48304128
37	18457	48304128
38	18717	48828416
39	19119	49614848
40	19494	50139136
41	19961	51187712
42	20221	51974144
43	20544	52236288
44	20907	53022720
45	21230	53284864
46	21590	53547008
47	21917	54071296
48	22202	54071296
49	22364	54595584
50	22633	54820864
51	22880	55074816
Aggregation Count:	1
Timer Name	Value
CPU Time (ns):	0
Wall Time (ms):	0
CPU Cycles:	0
Snapshot #	Snapshot Time(ms)	Value(Bytes)
1	9	30289920
2	1034	32387072
3	1300	33173504
4	2399	33697792
5	3368	34746368
6	4230	35008512
7	5073	35794944
8	5583	36057088
9	5985	36319232
10	6568	36540416
11	7172	37064704
12	7824	37326848
13	8338	37851136
14	8914	38113280
15	9297	38375424
16	9894	39424000
17	10324	39948288
18	10830	40472576
19	11365	40996864
20	11815	41259008
21	12225	41783296
22	12706	42307584
23	13090	42831872
24	13567	43356160
25	14041	43880448
26	14477	44404736
27	14797	44666880
28	15249	44904448
29	15608	45428736
30	15966	46215168
31	16310	46477312
32	16566	47001600
33	16958	47525888
34	17250	47517696
35	17702	47779840
36	18076	48304128
37	18457	48304128
38	18717	48828416
39	19119	49614848
40	19494	50139136
41	19961	51187712
42	20221	51974144
43	20544	52236288
44	20907	53022720
45	21230	53284864
46	21590	53547008
47	21917	54071296
48	22202	54071296
49	22364	54595584
50	22633	54820864
51	22880	55074816
Hits	Total
2600	2810
Percent Hit:	92.5267%
Fitness
0.998935
Real|Predicted
Cammeo|Cammeo	Cammeo|Osmancik	Osmancik|Osmancik	Osmancik|Cammeo
1036	104	1564	106
GEN#	SUB#	μFGEN	FsBestGEN	FsWorstGEN	μTreeSzGEN	μTreeDpGEN	bTreeSzGEN	bTreeDpGEN	wTreeSzGEN	wTreeDpGEN	μFRUN	FsBestRUN	FsWorstRUN	μTreeSzRUN	μTreeDpRUN	bTreeSzRUN	bTreeDpRUN	wTreeSzRUN	wTreeDpRUN
0	0	0.958	0.9983	0	17.819	3.396	42	5	47	6	0.958	0.9983	0	17.819	3.396	42	5	47	6
1	0	0.989	0.9983	0	16.87	3.531	17	6	61	6	0.9735	0.9983	0	17.344	3.464	17	6	47	6
2	0	0.9905	0.9983	0	16.824	3.671	17	6	92	7	0.9792	0.9983	0	17.171	3.533	17	6	47	6
3	0	0.9929	0.9987	0	15.21	3.558	5	3	47	7	0.9826	0.9987	0	16.681	3.539	5	3	47	6
4	0	0.9917	0.9987	0	13.588	3.476	5	3	92	11	0.9844	0.9987	0	16.062	3.526	5	3	47	6
5	0	0.9966	0.9987	0	12.418	3.425	5	3	25	10	0.9864	0.9987	0	15.455	3.51	5	3	47	6
6	0	0.9942	0.9987	0	11.585	3.324	5	3	75	10	0.9876	0.9987	0	14.902	3.483	5	3	47	6
7	0	0.998	0.9987	0.998	10.971	3.26	5	3	25	8	0.9889	0.9987	0	14.41	3.455	5	3	47	6
8	0	0.9955	0.9987	0	11.166	3.311	5	3	16	4	0.9896	0.9987	0	14.05	3.439	5	3	47	6
9	0	0.9942	0.9987	0	10.539	3.201	5	3	18	6	0.9901	0.9987	0	13.699	3.415	5	3	47	6
10	0	0.998	0.9987	0.9976	9.874	3.035	5	3	5	3	0.9908	0.9987	0	13.351	3.381	5	3	47	6
11	0	0.9955	0.9987	0	9.806	3.11	5	3	16	5	0.9912	0.9987	0	13.056	3.358	5	3	47	6
12	0	0.9967	0.9987	0	9.394	3.104	5	3	19	6	0.9916	0.9987	0	12.774	3.339	5	3	47	6
13	0	0.998	0.9987	0.9976	9.126	3.107	5	3	6	3	0.9921	0.9987	0	12.513	3.322	5	3	47	6
14	0	0.9967	0.9987	0	8.447	2.959	25	8	43	12	0.9924	0.9987	0	12.242	3.298	25	8	47	6
15	0	0.9942	0.9987	0	8.131	2.89	25	8	9	4	0.9925	0.9987	0	11.985	3.272	25	8	47	6
16	0	0.9967	0.9987	0	7.81	2.845	25	8	29	10	0.9927	0.9987	0	11.74	3.247	25	8	47	6
17	0	0.998	0.9987	0.9952	6.934	2.604	25	8	11	4	0.993	0.9987	0	11.473	3.212	25	8	47	6
18	0	0.9967	0.9987	0	6.746	2.509	25	8	16	7	0.9932	0.9987	0	11.224	3.175	25	8	47	6
19	0	0.998	0.9987	0.9976	7.107	2.606	25	8	4	2	0.9935	0.9987	0	11.018	3.146	25	8	47	6
20	0	0.9967	0.9987	0	6.897	2.547	25	8	5	2	0.9936	0.9987	0	10.822	3.118	25	8	47	6
21	0	0.998	0.9987	0.9976	6.518	2.453	25	8	5	3	0.9938	0.9987	0	10.626	3.087	25	8	47	6
22	0	0.998	0.9987	0.998	6.511	2.442	25	8	1	0	0.994	0.9987	0	10.447	3.059	25	8	47	6
23	0	0.9967	0.9987	0	5.941	2.228	25	8	23	6	0.9941	0.9987	0	10.26	3.025	25	8	47	6
24	0	0.9967	0.9987	0	5.985	2.237	25	8	17	6	0.9942	0.9987	0	10.089	2.993	25	8	47	6
25	0	0.9967	0.9987	0	6.114	2.266	25	8	26	7	0.9943	0.9987	0	9.936	2.965	25	8	47	6
26	0	0.998	0.9989	0.9961	5.731	2.135	18	8	10	4	0.9944	0.9989	0	9.78	2.934	18	8	47	6
