Run	Remaining Subpopulations
0	10
1	10
2	10
3	10
4	10
5	7
6	7
7	7
8	7
9	7
10	5
11	5
12	5
13	5
14	5
15	3
16	3
17	3
18	3
19	3
20	2
21	2
22	2
23	2
24	2
25	1
26	1
27	1
28	1
29	1
Timer Name	Value
CPU Time (ns):	22009749421
Wall Time (ms):	1613
CPU Cycles:	77077778910460031
Snapshot #	Snapshot Time(ms)	Value(Bytes)
1	4	305045504
2	105	319987712
3	180	325492736
4	260	331259904
5	329	337813504
6	381	344891392
7	506	244314112
8	552	249257984
9	596	251342848
10	637	255275008
11	670	258682880
12	749	188321792
13	781	191205376
14	808	193040384
15	834	194600960
16	856	196435968
17	919	118927360
18	940	119975936
19	960	121548800
20	982	122859520
21	1002	124694528
22	1052	83828736
23	1069	85139456
24	1088	85401600
25	1108	85635072
26	1127	86421504
27	1165	43728896
28	1183	43991040
29	1202	44515328
30	1219	45039616
31	1235	45301760
32	1259	45563904
33	1269	45563904
34	1285	46075904
35	1302	46600192
36	1317	46821376
37	1333	47083520
38	1351	47869952
39	1369	48132096
40	1387	48656384
41	1405	49180672
42	1416	49442816
43	1432	49967104
44	1442	50229248
45	1458	50753536
46	1474	51015680
47	1490	51539968
48	1505	51781632
49	1514	52043776
50	1530	52305920
51	1547	52568064
Aggregation Count:	10
Timer Name	Value
CPU Time (ns):	2200974942
Wall Time (ms):	833
CPU Cycles:	7707777891046003
Snapshot #	Snapshot Time(ms)	Value(Bytes)
1	4	30504550
2	105	31998771
3	180	32549273
4	260	33125990
5	329	33781350
6	381	34489139
7	506	34902016
8	552	35608283
9	596	35906121
10	637	36467858
11	670	36954697
12	749	37664358
13	781	38241075
14	808	38608076
15	834	38920192
16	856	39287193
17	919	39642453
18	940	39991978
19	960	40516266
20	982	40953173
21	1002	41564842
22	1052	41914368
23	1069	42569728
24	1088	42700800
25	1108	42817536
26	1127	43210752
27	1165	43728896
28	1183	43991040
29	1202	44515328
30	1219	45039616
31	1235	45301760
32	1259	45563904
33	1269	45563904
34	1285	46075904
35	1302	46600192
36	1317	46821376
37	1333	47083520
38	1351	47869952
39	1369	48132096
40	1387	48656384
41	1405	49180672
42	1416	49442816
43	1432	49967104
44	1442	50229248
45	1458	50753536
46	1474	51015680
47	1490	51539968
48	1505	51781632
49	1514	52043776
50	1530	52305920
51	1547	52568064
Hits	Total
1965	2810
Percent Hit:	69.9288%
Fitness
0.998546
Real|Predicted
Cammeo|Cammeo	Cammeo|Osmancik	Osmancik|Osmancik	Osmancik|Cammeo
758	368	1207	476
GEN#	SUB#	μFGEN	FsBestGEN	FsWorstGEN	μTreeSzGEN	μTreeDpGEN	bTreeSzGEN	bTreeDpGEN	wTreeSzGEN	wTreeDpGEN	μFRUN	FsBestRUN	FsWorstRUN	μTreeSzRUN	μTreeDpRUN	bTreeSzRUN	bTreeDpRUN	wTreeSzRUN	wTreeDpRUN
0	0	0.95982	0.99827	0	17.7084	3.3594	22	3	54	5	0.95982	0.99827	0	17.7084	3.3594	22	3	54	5
1	0	0.98976	0.99831	0	15.9374	3.4383	26	4	34	5	0.97481	0.99831	0	16.823	3.3987	26	4	54	5
2	0	0.99212	0.9984	0	14.7519	3.4622	27	4	32	6	0.98057	0.9984	0	16.1326	3.42	27	4	54	5
