Run	Remaining Subpopulations
0	10
1	10
2	10
3	10
4	10
5	7
6	7
7	7
8	7
9	7
10	5
11	5
12	5
13	5
14	5
15	3
16	3
17	3
18	3
19	3
20	2
21	2
22	2
23	2
24	2
25	1
26	1
27	1
28	1
29	1
Timer Name	Value
CPU Time (ns):	4975914686
Wall Time (ms):	1613
CPU Cycles:	7707781161032204
Snapshot #	Snapshot Time(ms)	Value(Bytes)
1	4	30650368
2	75	31698944
3	129	32223232
4	213	32747520
5	274	33796096
6	336	34058240
7	499	34582528
8	538	35106816
9	573	35631104
10	613	36155392
11	650	36679680
12	751	37203968
13	780	37728256
14	812	37990400
15	840	38776832
16	858	39301120
17	925	39563264
18	949	40087552
19	973	40873984
20	997	41398272
21	1018	41660416
22	1053	41398272
23	1073	42446848
24	1094	42708992
25	1117	42942464
26	1137	43466752
27	1165	43728896
28	1183	43991040
29	1202	44515328
30	1219	45039616
31	1235	45301760
32	1259	45563904
33	1269	45563904
34	1285	46075904
35	1302	46600192
36	1317	46821376
37	1333	47083520
38	1351	47869952
39	1369	48132096
40	1387	48656384
41	1405	49180672
42	1416	49442816
43	1432	49967104
44	1442	50229248
45	1458	50753536
46	1474	51015680
47	1490	51539968
48	1505	51781632
49	1514	52043776
50	1530	52305920
51	1547	52568064
Aggregation Count:	1
Timer Name	Value
CPU Time (ns):	4975914686
Wall Time (ms):	1561
CPU Cycles:	7707781161032204
Snapshot #	Snapshot Time(ms)	Value(Bytes)
1	4	30650368
2	75	31698944
3	129	32223232
4	213	32747520
5	274	33796096
6	336	34058240
7	499	34582528
8	538	35106816
9	573	35631104
10	613	36155392
11	650	36679680
12	751	37203968
13	780	37728256
14	812	37990400
15	840	38776832
16	858	39301120
17	925	39563264
18	949	40087552
19	973	40873984
20	997	41398272
21	1018	41660416
22	1053	41398272
23	1073	42446848
24	1094	42708992
25	1117	42942464
26	1137	43466752
27	1165	43728896
28	1183	43991040
29	1202	44515328
30	1219	45039616
31	1235	45301760
32	1259	45563904
33	1269	45563904
34	1285	46075904
35	1302	46600192
36	1317	46821376
37	1333	47083520
38	1351	47869952
39	1369	48132096
40	1387	48656384
41	1405	49180672
42	1416	49442816
43	1432	49967104
44	1442	50229248
45	1458	50753536
46	1474	51015680
47	1490	51539968
48	1505	51781632
49	1514	52043776
50	1530	52305920
51	1547	52568064
Hits	Total
2211	2810
Percent Hit:	78.6833%
Fitness
0.998778
Real|Predicted
