Run	Remaining Subpopulations
0	120
1	120
2	120
3	120
4	120
5	95
6	95
7	95
8	95
9	95
10	74
11	74
12	74
13	74
14	74
15	59
16	59
17	59
18	59
19	59
20	45
21	45
22	45
23	45
24	45
25	35
26	35
27	35
28	35
29	35
30	27
31	27
32	27
33	27
34	27
35	21
36	21
37	21
38	21
39	21
40	16
41	16
42	16
43	16
44	16
45	12
46	12
47	12
48	12
49	12
50	0
51	0
52	0
53	0
54	0
Timer Name	Value
CPU Time (ns):	148934383421
Wall Time (ms):	15521
CPU Cycles:	277487712736266844
Snapshot #	Snapshot Time(ms)	Value(Bytes)
1	9	3621625856
2	1404	3814764544
3	2242	3893571584
4	3052	3964989440
5	3817	4038201344
6	4323	4106678272
7	5797	3299028992
8	6399	3357278208
9	6932	3403423744
10	7445	3456917504
11	7790	3505537024
12	8805	2768883712
13	9130	2803015680
14	9472	2839576576
15	9769	2875256832
16	9982	2911272960
17	10739	2346393600
18	10968	2373844992
19	11206	2399567872
20	11411	2428551168
21	11531	2453245952
22	12106	1888313344
23	12241	1910071296
24	12385	1929691136
25	12510	1949020160
26	12602	1971560448
27	13021	1544597504
28	13127	1557667840
29	13233	1572052992
30	13317	1585876992
31	13383	1599373312
32	13706	1249251328
33	13790	1259413504
34	13874	1270423552
35	13949	1281683456
36	13999	1294004224
37	14213	1013911552
38	14279	1021231104
39	14348	1031680000
40	14403	1040330752
41	14443	1046618112
42	14622	807456768
43	14673	814489600
44	14722	819208192
45	14769	826273792
46	14810	833314816
47	14961	628391936
48	15000	633331712
49	15038	639610880
50	15078	645373952
51	15099	649547776
Aggregation Count:	120
Timer Name	Value
CPU Time (ns):	1241119861
Wall Time (ms):	4068
CPU Cycles:	2312397606135557
Snapshot #	Snapshot Time(ms)	Value(Bytes)
1	9	30180215
2	1404	31789704
3	2242	32446429
4	3052	33041578
5	3817	33651677
6	4323	34222318
7	5797	34726620
8	6399	35339770
9	6932	35825513
10	7445	36388605
11	7790	36900389
12	8805	37417347
13	9130	37878590
14	9472	38372656
15	9769	38854822
16	9982	39341526
17	10739	39769383
18	10968	40234660
19	11206	40670641
20	11411	41161884
21	11531	41580439
22	12106	41962518
23	12241	42446028
24	12385	42882025
25	12510	43311559
26	12602	43812454
27	13021	44131357
28	13127	44504795
29	13233	44915799
30	13317	45310771
31	13383	45696380
32	13706	46268567
33	13790	46644944
34	13874	47052724
35	13949	47469757
36	13999	47926082
37	14213	48281502
38	14279	48630052
39	14348	49127619
40	14403	49539559
41	14443	49838957
42	14622	50466048
43	14673	50905600
44	14722	51200512
45	14769	51642112
46	14810	52082176
47	14961	52365994
48	15000	52777642
49	15038	53300906
50	15078	53781162
51	15099	54128981
Hits	Total
2093	2810
Percent Hit:	74.484%
Fitness
0.998625
Real|Predicted
Cammeo|Cammeo	Cammeo|Osmancik	Osmancik|Osmancik	Osmancik|Cammeo
829	298	1264	418
