Run	Remaining Subpopulations
0	120
1	120
2	120
3	120
4	120
5	95
6	95
7	95
8	95
9	95
10	74
11	74
12	74
13	74
14	74
15	59
16	59
17	59
18	59
19	59
20	45
21	45
22	45
23	45
24	45
25	35
26	35
27	35
28	35
29	35
30	27
31	27
32	27
33	27
34	27
35	21
36	21
37	21
38	21
39	21
40	16
41	16
42	16
43	16
44	16
45	12
46	12
47	12
48	12
49	12
50	0
51	0
52	0
53	0
54	0
Timer Name	Value
CPU Time (ns):	5716574924
Wall Time (ms):	15521
CPU Cycles:	7708002679423244
Snapshot #	Snapshot Time(ms)	Value(Bytes)
1	13	30625792
2	1707	31936512
3	2759	32198656
4	3721	32722944
5	4451	33247232
6	4797	33509376
7	6225	34295808
8	6948	34820096
9	7539	35606528
10	8011	36130816
11	8229	36655104
12	8974	36655104
13	9449	37441536
14	9791	38227968
15	10148	38752256
16	10341	39276544
17	11132	39800832
18	11388	40325120
19	11686	40587264
20	11862	41373696
21	11919	41897984
22	12327	42422272
23	12415	42684416
24	12492	43208704
25	12642	43995136
26	12779	44781568
27	13261	45305856
28	13308	46092288
29	13420	46092288
30	13505	46092288
31	13593	46616576
32	13942	46878720
33	14009	46862336
34	14091	47386624
35	14162	48173056
36	14241	48697344
37	14474	49221632
38	14537	49221632
39	14599	49745920
40	14675	50270208
41	14698	50270208
42	14901	50532352
43	14950	51056640
44	15019	51580928
45	15055	51843072
46	15086	52367360
47	15202	52629504
48	15242	52625408
49	15272	52879360
50	15331	53403648
51	15352	53653504
Aggregation Count:	1
Timer Name	Value
CPU Time (ns):	5716574924
Wall Time (ms):	15439
CPU Cycles:	7708002679423244
Snapshot #	Snapshot Time(ms)	Value(Bytes)
1	13	30625792
2	1707	31936512
3	2759	32198656
4	3721	32722944
5	4451	33247232
6	4797	33509376
7	6225	34295808
8	6948	34820096
9	7539	35606528
10	8011	36130816
11	8229	36655104
12	8974	36655104
13	9449	37441536
14	9791	38227968
15	10148	38752256
16	10341	39276544
17	11132	39800832
18	11388	40325120
19	11686	40587264
20	11862	41373696
21	11919	41897984
22	12327	42422272
23	12415	42684416
24	12492	43208704
25	12642	43995136
26	12779	44781568
27	13261	45305856
28	13308	46092288
29	13420	46092288
30	13505	46092288
31	13593	46616576
32	13942	46878720
33	14009	46862336
34	14091	47386624
35	14162	48173056
36	14241	48697344
37	14474	49221632
38	14537	49221632
39	14599	49745920
40	14675	50270208
41	14698	50270208
42	14901	50532352
43	14950	51056640
44	15019	51580928
45	15055	51843072
46	15086	52367360
47	15202	52629504
48	15242	52625408
49	15272	52879360
50	15331	53403648
51	15352	53653504
Hits	Total
2600	2810
Percent Hit:	92.5267%
Fitness
0.998926
Real|Predicted
Cammeo|Cammeo	Cammeo|Osmancik	Osmancik|Osmancik	Osmancik|Cammeo
983	122	1617	88
GEN#	SUB#	μFGEN	FsBestGEN	FsWorstGEN	μTreeSzGEN	μTreeDpGEN	bTreeSzGEN	bTreeDpGEN	wTreeSzGEN	wTreeDpGEN	μFRUN	FsBestRUN	FsWorstRUN	μTreeSzRUN	μTreeDpRUN	bTreeSzRUN	bTreeDpRUN	wTreeSzRUN	wTreeDpRUN
0	0	0.9594	0.9989	0	17.569	3.3	11	3	76	6	0.9594	0.9989	0	17.569	3.3	11	3	76	6
1	0	0.9956	0.9989	0	15.312	3.295	11	3	46	6	0.9775	0.9989	0	16.441	3.297	11	3	76	6
2	0	0.9893	0.9989	0	15.822	3.478	11	3	21	5	0.9814	0.9989	0	16.235	3.357	11	3	76	6
3	0	0.9931	0.9989	0	16.012	3.587	11	3	10	4	0.9843	0.9989	0	16.179	3.415	11	3	76	6
4	0	0.9918	0.9989	0	14.293	3.484	11	3	10	4	0.9858	0.9989	0	15.802	3.429	11	3	76	6
5	0	0.9968	0.9989	0	13.831	3.46	11	3	80	12	0.9877	0.9989	0	15.473	3.434	11	3	76	6
6	0	0.9918	0.9989	0	14.133	3.596	11	3	45	6	0.9882	0.9989	0	15.282	3.457	11	3	76	6
7	0	0.9968	0.9989	0	13.895	3.619	11	3	39	9	0.9893	0.9989	0	15.108	3.477	11	3	76	6
8	0	0.998	0.9989	0.9902	12.676	3.41	11	3	13	4	0.9903	0.9989	0	14.838	3.47	11	3	76	6
9	0	0.9943	0.9989	0	13.014	3.385	11	3	59	8	0.9907	0.9989	0	14.656	3.461	11	3	76	6
10	0	0.9943	0.9989	0	12.425	3.271	11	3	38	11	0.991	0.9989	0	14.453	3.444	11	3	76	6
11	0	0.9956	0.9989	0	11.821	3.276	11	3	15	5	0.9914	0.9989	0	14.234	3.43	11	3	76	6
