Run	Remaining Subpopulations
0	120
1	120
2	120
3	120
4	120
5	95
6	95
7	95
8	95
9	95
10	74
11	74
12	74
13	74
14	74
15	59
16	59
17	59
18	59
19	59
20	45
21	45
22	45
23	45
24	45
25	35
26	35
27	35
28	35
29	35
30	27
31	27
32	27
33	27
34	27
35	21
36	21
37	21
38	21
39	21
40	16
41	16
42	16
43	16
44	16
45	12
46	12
47	12
48	12
49	12
50	0
51	0
52	0
53	0
54	0
Timer Name	Value
CPU Time (ns):	52780387228
Wall Time (ms):	15521
CPU Cycles:	69372023823872661
Snapshot #	Snapshot Time(ms)	Value(Bytes)
1	7	270680064
2	1531	286670848
3	2508	291651584
4	3400	297418752
5	4112	302923776
6	4529	308346880
7	5860	313327616
8	6469	318291968
9	7034	323796992
10	7559	329531392
11	7873	335036416
12	8882	338706432
13	9257	343425024
14	9606	346308608
15	9917	351281152
16	10101	355999744
17	10809	360173568
18	11064	364593152
19	11303	367136768
20	11518	371032064
21	11612	375205888
22	12115	379912192
23	12233	383582208
24	12369	388001792
25	12495	391667712
26	12606	396124160
27	13061	400056320
28	13153	403988480
29	13250	408182784
30	13332	411017216
31	13410	414646272
32	13739	418308096
33	13825	421175296
34	13907	425369600
35	13990	428515328
36	14039	433233920
37	14241	437420032
38	14309	440037376
39	14378	444751872
40	14435	448684032
41	14476	451825664
42	14658	454905856
43	14708	459362304
44	14756	462245888
45	14802	466427904
46	14841	470097920
47	14965	473235456
48	15004	476602368
49	15040	481046528
50	15079	484978688
51	15100	488103936
Aggregation Count:	9
Timer Name	Value
CPU Time (ns):	5864487469
Wall Time (ms):	15203
CPU Cycles:	7708002647096962
Snapshot #	Snapshot Time(ms)	Value(Bytes)
1	7	30075562
2	1531	31852316
3	2508	32405731
4	3400	33046528
5	4112	33658197
6	4529	34260764
7	5860	34814179
8	6469	35365774
9	7034	35977443
10	7559	36614599
11	7873	37226268
12	8882	37634048
13	9257	38158336
14	9606	38478734
15	9917	39031239
16	10101	39555527
17	10809	40019285
18	11064	40510350
19	11303	40792974
20	11518	41225784
21	11612	41689543
22	12115	42212465
23	12233	42620245
24	12369	43111310
25	12495	43518634
26	12606	44013795
27	13061	44450702
28	13153	44887608
29	13250	45353642
30	13332	45668579
31	13410	46071808
32	13739	46478677
33	13825	46797255
34	13907	47263288
35	13990	47612814
36	14039	48137102
37	14241	48602225
38	14309	48893041
39	14378	49416874
40	14435	49853781
41	14476	50202851
42	14658	50545095
43	14708	51040256
44	14756	51360654
45	14802	51825322
46	14841	52233102
47	14965	52581717
48	15004	52955818
49	15040	53449614
50	15079	53886520
51	15100	54233770
Hits	Total
2568	2810
Percent Hit:	91.3879%
Fitness
0.998912
Real|Predicted
Cammeo|Cammeo	Cammeo|Osmancik	Osmancik|Osmancik	Osmancik|Cammeo
1007	122	1561	118
GEN#	SUB#	μFGEN	FsBestGEN	FsWorstGEN	μTreeSzGEN	μTreeDpGEN	bTreeSzGEN	bTreeDpGEN	wTreeSzGEN	wTreeDpGEN	μFRUN	FsBestRUN	FsWorstRUN	μTreeSzRUN	μTreeDpRUN	bTreeSzRUN	bTreeDpRUN	wTreeSzRUN	wTreeDpRUN
0	0	0.959122	0.998711	0	17.4246	3.338	28	4	36	4	0.959122	0.998711	0	17.4246	3.338	28	4	36	4
1	0	0.991622	0.998778	0	15.6388	3.389	29	4	44	5	0.975378	0.998778	0	16.5316	3.36344	29	4	36	4
2	0	0.991622	0.998778	0	15.2612	3.48644	29	5	31	6	0.9808	0.998778	0	16.1081	3.40444	29	5	36	4
3	0	0.993711	0.998822	0	14.5714	3.48711	30	5	40	6	0.984022	0.998822	0	15.7239	3.42511	30	5	36	4
4	0	0.992844	0.998822	0.110856	13.8134	3.46367	30	5	26	5	0.985778	0.998822	0	15.342	3.433	30	5	36	4
5	0	0.995233	0.998822	0.221722	13.3121	3.44067	30	5	41	7	0.987356	0.998822	0	15.0034	3.43422	30	5	36	4
6	0	0.994533	0.998844	0	12.9981	3.46622	30	5	38	6	0.988378	0.998844	0	14.7171	3.43867	30	5	36	4
7	0	0.994667	0.998867	0	12.2498	3.40956	31	5	37	7	0.989167	0.998867	0	14.4084	3.435	31	5	36	4
8	0	0.996044	0.998867	0.2209	11.7931	3.36133	31	5	27	6	0.989933	0.998867	0	14.1182	3.42678	31	5	36	4
9	0	0.994678	0.998878	0.221733	11.3729	3.30644	26	5	22	5	0.990422	0.998878	0	13.8436	3.41489	26	5	36	4
10	0	0.995378	0.998878	0.110544	11.1403	3.27078	28	5	44	9	0.990856	0.998878	0	13.5979	3.402	28	5	36	4
11	0	0.996178	0.998889	0.209656	10.6263	3.21767	28	5	20	5	0.991311	0.998889	0	13.3501	3.38656	28	5	36	4
12	0	0.995989	0.998889	0.0555556	10.0314	3.16189	28	5	36	9	0.991644	0.998889	0	13.095	3.36911	28	5	36	4
13	0	0.995922	0.998889	0	9.748	3.12256	28	5	23	7	0.991978	0.998889	0	12.8558	3.35144	28	5	36	4
14	0	0.995789	0.998889	0.110878	9.24467	3.002	28	5	26	7	0.9922	0.998889	0	12.615	3.32833	28	5	36	4
15	0	0.996011	0.998889	0.221722	8.81667	2.92578	28	5	17	5	0.992444	0.998889	0	12.3777	3.30311	28	5	36	4
16	0	0.997178	0.998889	0.554367	8.46722	2.84444	27	5	15	3	0.992756	0.998889	0	12.1477	3.27622	27	5	36	4
17	0	0.996889	0.998889	0.442967	8.13244	2.78233	27	5	26	5	0.992944	0.998889	0	11.9247	3.24878	27	5	36	4
18	0	0.997033	0.998889	0.4434	7.83956	2.72389	27	5	24	6	0.993178	0.998889	0	11.7094	3.22111	27	5	36	4
19	0	0.996344	0.998889	0.332556	7.48122	2.639	27	6	18	5	0.993322	0.998889	0	11.4982	3.19178	27	6	36	4
20	0	0.997456	0.998889	0.554078	7.33922	2.60089	27	6	14	4	0.993533	0.998889	0	11.3001	3.16378	27	6	36	4
21	0	0.996622	0.998889	0.5542	7.19022	2.58322	27	6	19	5	0.993667	0.998889	0	11.1133	3.13733	27	6	36	4
22	0	0.996478	0.998889	0.332456	6.88367	2.51411	27	6	21	5	0.9938	0.998889	0	10.9294	3.11033	27	6	36	4
23	0	0.996344	0.998889	0.443456	6.62667	2.41989	27	6	12	5	0.993911	0.998889	0	10.75	3.08156	27	6	36	4
24	0	0.997467	0.998889	0.5543	6.48367	2.37344	27	6	11	3	0.994056	0.998889	0	10.5793	3.05333	27	6	36	4
25	0	0.996889	0.998889	0.443478	6.31722	2.347	27	6	18	6	0.994156	0.998889	0	10.4154	3.026	27	6	36	4
26	0	0.997311	0.9989	0.5543	6.09311	2.28256	27	6	13	4	0.994256	0.9989	0	10.2554	2.99844	27	6	36	4
27	0	0.997467	0.9989	0.665022	5.86978	2.20722	27	6	16	5	0.9944	0.9989	0	10.099	2.97022	27	6	36	4
28	0	0.997311	0.9989	0.554111	5.78911	2.18311	27	6	13	5	0.994489	0.9989	0	9.95	2.94311	27	6	36	4
29	0	0.9976	0.9989	0.665033	5.72456	2.16833	24	5	13	4	0.9946	0.9989	0	9.80933	2.91722	24	5	36	4
30	0	0.997167	0.9989	0.443456	5.70256	2.15589	24	5	15	5	0.994678	0.9989	0	9.67689	2.89289	24	5	36	4
31	0	0.997589	0.9989	0.664711	5.49411	2.08556	23	5	12	4	0.994767	0.9989	0	9.54622	2.86767	23	5	36	4
32	0	0.997733	0.9989	0.775833	5.57744	2.10533	23	5	14	5	0.994856	0.9989	0	9.42589	2.84433	23	5	36	4
33	0	0.997167	0.9989	0.332467	5.52144	2.10656	23	5	12	4	0.994922	0.9989	0	9.311	2.82289	23	5	36	4
34	0	0.997467	0.9989	0.665122	5.42756	2.07578	23	5	21	5	0.994989	0.9989	0	9.2	2.80133	23	5	36	4
35	0	0.997167	0.9989	0.443322	5.31	2.04633	23	5	14	4	0.995056	0.9989	0	9.092	2.78033	23	5	36	4
36	0	0.997322	0.9989	0.665167	5.28122	2.02978	23	5	15	4	0.995122	0.9989	0	8.98911	2.76011	23	5	36	4
37	0	0.9976	0.9989	0.775956	5.24956	2.00411	23	5	12	3	0.995178	0.9989	0	8.89067	2.74033	23	5	36	4
38	0	0.997322	0.9989	0.665022	5.20689	2.00567	23	5	8	3	0.995233	0.9989	0	8.79611	2.72133	23	5	36	4
39	0	0.997589	0.9989	0.664456	5.26867	2.00833	23	5	11	4	0.9953	0.9989	0	8.708	2.70356	23	5	36	4
40	0	0.997878	0.9989	0.8869	5.27444	2.00556	23	5	6	2	0.995367	0.9989	0	8.62411	2.68644	23	5	36	4
41	0	0.997322	0.9989	0.6648	5.28911	2.00267	23	5	10	3	0.9954	0.9989	0	8.54489	2.67022	23	5	36	4
42	0	0.997589	0.9989	0.664656	5.17289	1.96444	23	5	10	4	0.995456	0.9989	0	8.46633	2.65378	23	5	36	4
43	0	0.997444	0.9989	0.554267	5.052	1.93033	23	5	10	3	0.9955	0.9989	0	8.38878	2.63722	23	5	36	4
44	0	0.997733	0.9989	0.776078	5.09278	1.93256	23	5	10	3	0.995544	0.9989	0	8.31544	2.62178	23	5	36	4
45	0	0.997456	0.9989	0.6652	5.02222	1.915	23	5	14	3	0.995578	0.9989	0	8.244	2.60633	23	5	36	4
46	0	0.997744	0.9989	0.7756	4.99567	1.90833	23	5	8	2	0.995633	0.9989	0	8.17489	2.59144	23	5	36	4
47	0	0.997322	0.9989	0.554356	4.94222	1.884	23	5	9	4	0.995667	0.9989	0	8.10756	2.57689	23	5	36	4
48	0	0.997311	0.9989	0.443478	4.79167	1.82922	23	5	10	4	0.995711	0.9989	0	8.04	2.56156	23	5	36	4
49	0	0.9976	0.9989	0.6652	4.69133	1.79556	23	5	9	4	0.995744	0.9989	0	7.97289	2.54611	23	5	36	4
50	0	0.997878	0.9989	0.886878	4.68378	1.80189	24	5	8	3	0.995778	0.9989	0	7.90833	2.53167	24	5	36	4
