Run	Remaining Subpopulations
0	120
1	120
2	120
3	120
4	120
5	95
6	95
7	95
8	95
9	95
10	74
11	74
12	74
13	74
14	74
15	59
16	59
17	59
18	59
19	59
20	45
21	45
22	45
23	45
24	45
25	35
26	35
27	35
28	35
29	35
30	27
31	27
32	27
33	27
34	27
35	21
36	21
37	21
38	21
39	21
40	16
41	16
42	16
43	16
44	16
45	12
46	12
47	12
48	12
49	12
50	0
51	0
52	0
53	0
54	0
Timer Name	Value
CPU Time (ns):	6144622721
Wall Time (ms):	15521
CPU Cycles:	7708002607831931
Snapshot #	Snapshot Time(ms)	Value(Bytes)
1	6	30003200
2	1760	31838208
3	2655	32624640
4	3593	33411072
5	4354	34197504
6	4602	34435072
7	5919	35483648
8	6645	36007936
9	7230	36270080
10	7760	36794368
11	7948	37318656
12	8791	37580800
13	9035	38105088
14	9348	38105088
15	9805	38621184
16	10035	38883328
17	10846	39669760
18	11235	40456192
19	11365	40718336
20	11540	40681472
21	11624	40943616
22	12012	41467904
23	12115	42254336
24	12210	42741760
25	12334	43003904
26	12482	43528192
27	12982	44052480
28	13066	44576768
29	13204	45101056
30	13296	45363200
31	13373	45887488
32	13741	46411776
33	13845	46673920
34	13915	47198208
35	13983	47198208
36	14014	47460352
37	14221	47984640
38	14311	48508928
39	14373	49033216
40	14434	49295360
41	14460	49819648
42	14623	50081792
43	14692	50868224
44	14727	50868224
45	14759	51392512
46	14804	52178944
47	14920	52432896
48	14955	52957184
49	14992	53219328
50	15031	53743616
51	15049	54267904
Aggregation Count:	1
Timer Name	Value
CPU Time (ns):	6144622721
Wall Time (ms):	15158
CPU Cycles:	7708002607831931
Snapshot #	Snapshot Time(ms)	Value(Bytes)
1	6	30003200
2	1760	31838208
3	2655	32624640
4	3593	33411072
5	4354	34197504
6	4602	34435072
7	5919	35483648
8	6645	36007936
9	7230	36270080
10	7760	36794368
11	7948	37318656
12	8791	37580800
13	9035	38105088
14	9348	38105088
15	9805	38621184
16	10035	38883328
17	10846	39669760
18	11235	40456192
19	11365	40718336
20	11540	40681472
21	11624	40943616
22	12012	41467904
23	12115	42254336
24	12210	42741760
25	12334	43003904
26	12482	43528192
27	12982	44052480
28	13066	44576768
29	13204	45101056
30	13296	45363200
31	13373	45887488
32	13741	46411776
33	13845	46673920
34	13915	47198208
35	13983	47198208
36	14014	47460352
37	14221	47984640
38	14311	48508928
39	14373	49033216
40	14434	49295360
41	14460	49819648
42	14623	50081792
43	14692	50868224
44	14727	50868224
45	14759	51392512
46	14804	52178944
47	14920	52432896
48	14955	52957184
49	14992	53219328
50	15031	53743616
51	15049	54267904
Hits	Total
2612	2810
Percent Hit:	92.9537%
Fitness
0.998924
Real|Predicted
Cammeo|Cammeo	Cammeo|Osmancik	Osmancik|Osmancik	Osmancik|Cammeo
1028	109	1584	89
GEN#	SUB#	μFGEN	FsBestGEN	FsWorstGEN	μTreeSzGEN	μTreeDpGEN	bTreeSzGEN	bTreeDpGEN	wTreeSzGEN	wTreeDpGEN	μFRUN	FsBestRUN	FsWorstRUN	μTreeSzRUN	μTreeDpRUN	bTreeSzRUN	bTreeDpRUN	wTreeSzRUN	wTreeDpRUN
0	0	0.9456	0.9989	0	18.734	3.451	39	5	70	6	0.9456	0.9989	0	18.734	3.451	39	5	70	6
1	0	0.9942	0.9989	0	15.796	3.518	38	5	88	7	0.9699	0.9989	0	17.265	3.484	38	5	70	6
2	0	0.9893	0.9989	0	15.855	3.661	38	5	33	7	0.9764	0.9989	0	16.795	3.543	38	5	70	6
3	0	0.9893	0.9989	0	15.875	3.748	38	5	26	7	0.9796	0.9989	0	16.565	3.594	38	5	70	6
4	0	0.9893	0.9989	0	15.45	3.77	38	5	19	6	0.9815	0.9989	0	16.342	3.63	38	5	70	6
5	0	0.9942	0.9989	0	14.226	3.624	38	5	45	8	0.9836	0.9989	0	15.989	3.629	38	5	70	6
6	0	0.9942	0.9989	0	12.92	3.504	38	5	10	3	0.9852	0.9989	0	15.551	3.611	38	5	70	6
7	0	0.9942	0.9989	0	12.227	3.424	38	5	28	9	0.9863	0.9989	0	15.135	3.587	38	5	70	6
8	0	0.9942	0.9989	0	12.385	3.47	38	5	27	10	0.9872	0.9989	0	14.83	3.574	38	5	70	6
9	0	0.9918	0.9989	0	12.114	3.406	38	5	32	11	0.9876	0.9989	0	14.558	3.558	38	5	70	6
10	0	0.9955	0.9989	0	11.471	3.252	38	5	56	12	0.9884	0.9989	0	14.278	3.53	38	5	70	6
11	0	0.998	0.9989	0.998	11.2	3.194	38	5	6	4	0.9892	0.9989	0	14.021	3.502	38	5	70	6
12	0	0.9955	0.9989	0	10.805	3.185	38	5	50	9	0.9896	0.9989	0	13.774	3.477	38	5	70	6
13	0	0.9955	0.9989	0	9.945	3.025	38	5	7	3	0.9901	0.9989	0	13.5	3.445	38	5	70	6
14	0	0.9943	0.9989	0	10.191	3.071	38	5	56	13	0.9903	0.9989	0	13.28	3.42	38	5	70	6
15	0	0.9918	0.9989	0	10.034	2.999	38	5	19	7	0.9904	0.9989	0	13.077	3.394	38	5	70	6
16	0	0.9967	0.9989	0	8.945	2.933	38	5	16	5	0.9908	0.9989	0	12.834	3.367	38	5	70	6
17	0	0.993	0.9989	0	9.186	2.989	38	5	75	8	0.9909	0.9989	0	12.631	3.346	38	5	70	6
18	0	0.998	0.9989	0.9971	8.511	2.861	38	5	32	7	0.9913	0.9989	0	12.414	3.32	38	5	70	6
19	0	0.993	0.9989	0	8.235	2.837	38	5	24	8	0.9914	0.9989	0	12.205	3.296	38	5	70	6
20	0	0.998	0.9989	0.9971	8.312	2.859	38	5	31	7	0.9917	0.9989	0	12.02	3.275	38	5	70	6
21	0	0.993	0.9989	0	7.841	2.743	38	5	49	12	0.9918	0.9989	0	11.83	3.251	38	5	70	6
22	0	0.9967	0.9989	0	6.894	2.493	38	5	39	11	0.992	0.9989	0	11.615	3.218	38	5	70	6
23	0	0.9955	0.9989	0	6.58	2.319	38	5	15	6	0.9921	0.9989	0	11.406	3.181	38	5	70	6
24	0	0.998	0.9989	0.9978	6.119	2.231	38	5	7	3	0.9924	0.9989	0	11.194	3.143	38	5	70	6
25	0	0.9967	0.9989	0	6.111	2.297	38	5	22	8	0.9925	0.9989	0	10.999	3.11	38	5	70	6
26	0	0.9955	0.9989	0	5.985	2.221	38	5	5	2	0.9926	0.9989	0	10.813	3.077	38	5	70	6
27	0	0.998	0.9989	0.9964	6.001	2.179	38	5	11	4	0.9928	0.9989	0	10.641	3.045	38	5	70	6
28	0	0.998	0.9989	0.9955	5.864	2.239	38	5	3	1	0.993	0.9989	0	10.476	3.017	38	5	70	6
29	0	0.998	0.9989	0.9979	5.881	2.172	38	5	9	4	0.9932	0.9989	0	10.323	2.989	38	5	70	6
30	0	0.9967	0.9989	0	5.841	2.191	38	5	15	5	0.9933	0.9989	0	10.179	2.963	38	5	70	6
31	0	0.9967	0.9989	0	5.442	2.042	38	5	18	5	0.9934	0.9989	0	10.031	2.935	38	5	70	6
32	0	0.998	0.9989	0.9976	5.224	1.971	38	5	22	8	0.9935	0.9989	0	9.885	2.905	38	5	70	6
33	0	0.998	0.9989	0.998	4.966	1.893	38	5	1	0	0.9937	0.9989	0	9.74	2.876	38	5	70	6
34	0	0.998	0.9989	0.998	4.876	1.837	38	5	3	2	0.9938	0.9989	0	9.601	2.846	38	5	70	6
35	0	0.9967	0.9989	0	4.976	1.867	38	5	9	3	0.9939	0.9989	0	9.473	2.819	38	5	70	6
36	0	0.998	0.9989	0.9976	5.076	1.87	38	5	6	3	0.994	0.9989	0	9.354	2.793	38	5	70	6
37	0	0.9967	0.9989	0	4.906	1.795	38	5	34	6	0.994	0.9989	0	9.237	2.767	38	5	70	6
38	0	0.998	0.9989	0.9979	4.935	1.869	38	5	6	4	0.9942	0.9989	0	9.127	2.744	38	5	70	6
39	0	0.9967	0.9989	0	5.169	1.944	38	5	14	5	0.9942	0.9989	0	9.028	2.724	38	5	70	6
40	0	0.998	0.9989	0.9975	5.532	2.027	38	5	8	3	0.9943	0.9989	0	8.942	2.707	38	5	70	6
41	0	0.9955	0.9989	0	5.577	1.979	38	5	32	7	0.9943	0.9989	0	8.862	2.69	38	5	70	6
42	0	0.9967	0.9989	0	5.6	1.991	38	5	10	4	0.9944	0.9989	0	8.786	2.673	38	5	70	6
43	0	0.9967	0.9989	0	5.853	2.05	38	5	7	3	0.9944	0.9989	0	8.72	2.659	38	5	70	6
