Timer Name	Value
CPU Time (ns):	5572828949
Wall Time (ms):	2524
CPU Cycles:	7698253938375333
Snapshot #	Snapshot Time(ms)	Value(Bytes)
1	4	30642176
2	132	32215040
3	222	33001472
4	316	33263616
5	425	33787904
6	492	34312192
7	545	34836480
8	599	35622912
9	660	36147200
10	731	36671488
11	815	37195776
12	902	37720064
13	959	37982208
14	1015	39030784
15	1064	39030784
16	1109	39555072
17	1154	40079360
18	1212	40865792
19	1263	41390080
20	1312	41914368
21	1339	42176512
22	1382	42962944
23	1437	43487232
24	1471	44011520
25	1516	44482560
26	1564	45006848
27	1611	45531136
28	1654	46055424
29	1687	46579712
30	1733	46841856
31	1774	47104000
32	1816	47628288
33	1856	47890432
34	1883	48414720
35	1910	48676864
36	1946	48676864
37	1994	49201152
38	2020	49725440
39	2046	49725440
40	2084	50774016
41	2120	51036160
42	2155	51298304
43	2200	51560448
44	2228	51822592
45	2262	52084736
46	2302	52609024
47	2329	52871168
48	2362	53395456
49	2389	53919744
50	2411	54706176
51	2429	55230464
Aggregation Count:	1
Timer Name	Value
CPU Time (ns):	5572828949
Wall Time (ms):	2441
CPU Cycles:	7698253938375333
Snapshot #	Snapshot Time(ms)	Value(Bytes)
1	4	30642176
2	132	32215040
3	222	33001472
4	316	33263616
5	425	33787904
6	492	34312192
7	545	34836480
8	599	35622912
9	660	36147200
10	731	36671488
11	815	37195776
12	902	37720064
13	959	37982208
14	1015	39030784
15	1064	39030784
16	1109	39555072
17	1154	40079360
18	1212	40865792
19	1263	41390080
20	1312	41914368
21	1339	42176512
22	1382	42962944
23	1437	43487232
24	1471	44011520
25	1516	44482560
26	1564	45006848
27	1611	45531136
28	1654	46055424
29	1687	46579712
30	1733	46841856
31	1774	47104000
32	1816	47628288
33	1856	47890432
34	1883	48414720
35	1910	48676864
36	1946	48676864
37	1994	49201152
38	2020	49725440
39	2046	49725440
40	2084	50774016
41	2120	51036160
42	2155	51298304
43	2200	51560448
44	2228	51822592
45	2262	52084736
46	2302	52609024
47	2329	52871168
48	2362	53395456
49	2389	53919744
50	2411	54706176
51	2429	55230464
Hits	Total
2559	2810
Percent Hit:	91.0676%
Fitness
0.998919
Real|Predicted
Cammeo|Cammeo	Cammeo|Osmancik	Osmancik|Osmancik	Osmancik|Cammeo
988	153	1571	98
GEN#	SUB#	μFGEN	FsBestGEN	FsWorstGEN	μTreeSzGEN	μTreeDpGEN	bTreeSzGEN	bTreeDpGEN	wTreeSzGEN	wTreeDpGEN	μFRUN	FsBestRUN	FsWorstRUN	μTreeSzRUN	μTreeDpRUN	bTreeSzRUN	bTreeDpRUN	wTreeSzRUN	wTreeDpRUN
0	0	0.9618	0.9986	0	17.274	3.348	12	5	83	6	0.9618	0.9986	0	17.274	3.348	12	5	83	6
1	0	0.9917	0.9986	0	14.729	3.29	12	5	18	5	0.9768	0.9986	0	16.001	3.319	12	5	83	6
2	0	0.993	0.9986	0	14.17	3.36	12	5	19	5	0.9822	0.9986	0	15.391	3.333	12	5	83	6
3	0	0.9967	0.9986	0	12.764	3.317	12	5	61	7	0.9858	0.9986	0	14.734	3.329	12	5	83	6
4	0	0.9942	0.9986	0	12.44	3.289	12	5	35	7	0.9875	0.9986	0	14.275	3.321	12	5	83	6
5	0	0.9955	0.9987	0	13.078	3.433	25	7	71	7	0.9888	0.9987	0	14.076	3.339	25	7	83	6
6	0	0.9955	0.9987	0	12.162	3.345	53	6	78	13	0.9898	0.9987	0	13.802	3.34	53	6	83	6
7	0	0.9967	0.9987	0	11.768	3.346	53	6	35	11	0.9907	0.9987	0	13.548	3.341	53	6	83	6
8	0	0.9967	0.9988	0	10.871	3.234	77	12	27	8	0.9913	0.9988	0	13.251	3.329	77	12	83	6
9	0	0.998	0.9988	0.9973	10.979	3.165	77	12	27	7	0.992	0.9988	0	13.023	3.313	77	12	83	6
10	0	0.9955	0.9988	0	11.534	3.304	77	12	12	5	0.9923	0.9988	0	12.888	3.312	77	12	83	6
11	0	0.998	0.9988	0.9975	10.899	3.286	77	12	10	4	0.9928	0.9988	0	12.722	3.31	77	12	83	6
12	0	0.9955	0.9988	0	10.401	3.261	50	8	20	8	0.993	0.9988	0	12.544	3.306	50	8	83	6
13	0	0.9967	0.9988	0	9.635	3.14	50	8	26	8	0.9933	0.9988	0	12.336	3.294	50	8	83	6
14	0	0.9942	0.9988	0	9.221	3.022	50	8	33	12	0.9933	0.9988	0	12.128	3.276	50	8	83	6
15	0	0.9955	0.9988	0	8.884	2.93	50	8	12	5	0.9935	0.9988	0	11.925	3.254	50	8	83	6
16	0	0.9955	0.9988	0	8.356	2.664	50	8	18	7	0.9936	0.9988	0	11.716	3.22	50	8	83	6
17	0	0.993	0.9988	0	8.325	2.709	50	8	44	7	0.9935	0.9988	0	11.527	3.191	50	8	83	6
18	0	0.9955	0.9988	0	8.139	2.734	50	8	39	7	0.9936	0.9988	0	11.349	3.167	50	8	83	6
19	0	0.9955	0.9989	0	8.371	2.803	38	7	5	2	0.9937	0.9989	0	11.2	3.149	38	7	83	6
20	0	0.998	0.9989	0.9979	7.971	2.667	38	7	11	4	0.9939	0.9989	0	11.046	3.126	38	7	83	6
21	0	0.998	0.9989	0.9976	7.265	2.57	38	7	10	5	0.9941	0.9989	0	10.874	3.101	38	7	83	6
22	0	0.9955	0.9989	0	7.149	2.555	38	7	16	4	0.9942	0.9989	0	10.712	3.077	38	7	83	6
23	0	0.9967	0.9989	0	7.001	2.501	38	7	23	6	0.9943	0.9989	0	10.558	3.053	38	7	83	6
24	0	0.998	0.9989	0.998	6.975	2.485	38	7	5	3	0.9944	0.9989	0	10.414	3.03	38	7	83	6
25	0	0.9942	0.9989	0	6.673	2.414	37	5	32	6	0.9944	0.9989	0	10.27	3.007	37	5	83	6
26	0	0.998	0.9989	0.9977	6.231	2.28	37	5	4	2	0.9946	0.9989	0	10.121	2.98	37	5	83	6
27	0	0.9967	0.9989	0	6.082	2.254	37	5	12	4	0.9946	0.9989	0	9.977	2.954	37	5	83	6
28	0	0.9967	0.9989	0	6.43	2.357	37	5	9	4	0.9947	0.9989	0	9.854	2.933	37	5	83	6
29	0	0.998	0.9989	0.9975	5.874	2.203	37	5	26	6	0.9948	0.9989	0	9.722	2.909	37	5	83	6
30	0	0.998	0.9989	0.9976	5.83	2.225	37	5	15	5	0.9949	0.9989	0	9.596	2.887	37	5	83	6
31	0	0.9955	0.9989	0	6.016	2.205	37	5	7	3	0.9949	0.9989	0	9.484	2.865	37	5	83	6
32	0	0.998	0.9989	0.9978	6.053	2.186	37	5	7	3	0.995	0.9989	0	9.38	2.845	37	5	83	6
33	0	0.9955	0.9989	0	6.031	2.144	37	5	9	4	0.995	0.9989	0	9.282	2.824	37	5	83	6
34	0	0.9967	0.9989	0	5.849	2.099	37	5	28	8	0.9951	0.9989	0	9.184	2.804	37	5	83	6
35	0	0.9967	0.9989	0	5.82	2.123	37	5	28	5	0.9951	0.9989	0	9.09	2.785	37	5	83	6
36	0	0.998	0.9989	0.9975	5.981	2.178	37	5	22	7	0.9952	0.9989	0	9.006	2.768	37	5	83	6
37	0	0.998	0.9989	0.9975	5.731	2.083	37	5	8	5	0.9953	0.9989	0	8.92	2.75	37	5	83	6
38	0	0.998	0.9989	0.9979	5.696	2.081	37	5	12	4	0.9954	0.9989	0	8.837	2.733	37	5	83	6
39	0	0.998	0.9989	0.9979	5.925	2.112	37	5	4	2	0.9954	0.9989	0	8.765	2.717	37	5	83	6
40	0	0.998	0.9989	0.9979	5.691	2.055	37	5	5	2	0.9955	0.9989	0	8.69	2.701	37	5	83	6
41	0	0.9955	0.9989	0	5.876	2.171	37	5	16	7	0.9955	0.9989	0	8.623	2.689	37	5	83	6
42	0	0.9967	0.9989	0	5.525	2.049	37	5	8	4	0.9955	0.9989	0	8.551	2.674	37	5	83	6
43	0	0.998	0.9989	0.9978	5.354	2	37	5	6	3	0.9956	0.9989	0	8.478	2.659	37	5	83	6
