Timer Name	Value
CPU Time (ns):	5214431582
Wall Time (ms):	15909
CPU Cycles:	7698745986218189
Snapshot #	Snapshot Time(ms)	Value(Bytes)
1	6	30371840
2	638	32206848
3	684	32993280
4	735	33255424
5	792	33779712
6	850	34566144
7	5832	35352576
8	6453	35876864
9	7099	36401152
10	7422	36917248
11	7713	37441536
12	8966	37703680
13	9219	37703680
14	9425	38490112
15	9683	38752256
16	9955	39276544
17	10846	39538688
18	10956	39800832
19	11170	40325120
20	11379	40587264
21	11560	41373696
22	12240	41635840
23	12362	42160128
24	12489	42684416
25	12632	43208704
26	12736	43732992
27	13150	43732992
28	13213	43995136
29	13338	44519424
30	13448	44781568
31	13549	45568000
32	13875	46092288
33	13944	46092288
34	14024	46878720
35	14108	47140864
36	14187	47403008
37	14395	48189440
38	14430	48975872
39	14478	48709632
40	14547	49496064
41	14609	49758208
42	14822	50544640
43	14905	51068928
44	14941	51064832
45	14998	51064832
46	15034	51589120
47	15173	52113408
48	15219	52375552
49	15249	52592640
50	15276	53116928
51	15301	53379072
Aggregation Count:	1
Timer Name	Value
CPU Time (ns):	5214431582
Wall Time (ms):	15386
CPU Cycles:	7698745986218189
Snapshot #	Snapshot Time(ms)	Value(Bytes)
1	6	30371840
2	638	32206848
3	684	32993280
4	735	33255424
5	792	33779712
6	850	34566144
7	5832	35352576
8	6453	35876864
9	7099	36401152
10	7422	36917248
11	7713	37441536
12	8966	37703680
13	9219	37703680
14	9425	38490112
15	9683	38752256
16	9955	39276544
17	10846	39538688
18	10956	39800832
19	11170	40325120
20	11379	40587264
21	11560	41373696
22	12240	41635840
23	12362	42160128
24	12489	42684416
25	12632	43208704
26	12736	43732992
27	13150	43732992
28	13213	43995136
29	13338	44519424
30	13448	44781568
31	13549	45568000
32	13875	46092288
33	13944	46092288
34	14024	46878720
35	14108	47140864
36	14187	47403008
37	14395	48189440
38	14430	48975872
39	14478	48709632
40	14547	49496064
41	14609	49758208
42	14822	50544640
43	14905	51068928
44	14941	51064832
45	14998	51064832
46	15034	51589120
47	15173	52113408
48	15219	52375552
49	15249	52592640
50	15276	53116928
51	15301	53379072
Hits	Total
2587	2810
Percent Hit:	92.0641%
Fitness
0.998925
Real|Predicted
Cammeo|Cammeo	Cammeo|Osmancik	Osmancik|Osmancik	Osmancik|Cammeo
1001	144	1586	79
GEN#	SUB#	μFGEN	FsBestGEN	FsWorstGEN	μTreeSzGEN	μTreeDpGEN	bTreeSzGEN	bTreeDpGEN	wTreeSzGEN	wTreeDpGEN	μFRUN	FsBestRUN	FsWorstRUN	μTreeSzRUN	μTreeDpRUN	bTreeSzRUN	bTreeDpRUN	wTreeSzRUN	wTreeDpRUN
0	0	0.9593	0.9981	0	17.308	3.389	5	4	35	5	0.9593	0.9981	0	17.308	3.389	5	4	35	5
1	0	0.9867	0.9984	0	15.875	3.459	5	2	14	4	0.973	0.9984	0	16.591	3.424	5	2	35	5
2	0	0.993	0.9984	0	14.957	3.42	5	2	130	9	0.9797	0.9984	0	16.047	3.422	5	2	35	5
3	0	0.988	0.9984	0	14.111	3.464	5	2	15	6	0.9817	0.9984	0	15.563	3.433	5	2	35	5
4	0	0.9942	0.9985	0	13.316	3.5	8	5	26	6	0.9842	0.9985	0	15.114	3.446	8	5	35	5
5	0	0.988	0.9989	0	12.184	3.345	29	5	16	5	0.9849	0.9989	0	14.625	3.429	29	5	35	5
6	0	0.9942	0.9989	0	11.52	3.312	29	5	27	5	0.9862	0.9989	0	14.182	3.413	29	5	35	5
7	0	0.9942	0.9989	0	10.631	3.197	29	5	49	9	0.9872	0.9989	0	13.738	3.386	29	5	35	5
8	0	0.998	0.9989	0.9979	10.211	3.125	29	5	38	7	0.9884	0.9989	0	13.346	3.357	29	5	35	5
9	0	0.9942	0.9989	0	8.619	2.864	29	5	13	5	0.989	0.9989	0	12.873	3.308	29	5	35	5
10	0	0.9967	0.9989	0	7.81	2.661	29	5	18	8	0.9897	0.9989	0	12.413	3.249	29	5	35	5
11	0	0.9967	0.9989	0	7.416	2.644	29	5	37	9	0.9903	0.9989	0	11.997	3.198	29	5	35	5
12	0	0.998	0.9989	0.9977	6.626	2.422	29	5	5	3	0.9909	0.9989	0	11.583	3.139	29	5	35	5
13	0	0.998	0.9989	0.9978	6.746	2.441	29	5	7	3	0.9914	0.9989	0	11.238	3.089	29	5	35	5
14	0	0.998	0.9989	0.9979	7.074	2.521	29	5	14	6	0.9918	0.9989	0	10.96	3.051	29	5	35	5
15	0	0.998	0.9989	0.9977	6.509	2.375	29	5	4	2	0.9922	0.9989	0	10.682	3.009	29	5	35	5
16	0	0.9955	0.9989	0	5.781	2.126	29	5	8	4	0.9924	0.9989	0	10.394	2.957	29	5	35	5
17	0	0.998	0.9989	0.9979	5.41	2.031	29	5	4	2	0.9927	0.9989	0	10.117	2.905	29	5	35	5
18	0	0.998	0.9989	0.9978	5.446	2.075	29	5	7	4	0.993	0.9989	0	9.871	2.862	29	5	35	5
19	0	0.998	0.9989	0.9979	5.15	1.956	29	5	3	1	0.9932	0.9989	0	9.635	2.816	29	5	35	5
20	0	0.998	0.9989	0.9975	5.08	1.925	29	5	33	8	0.9935	0.9989	0	9.418	2.774	29	5	35	5
21	0	0.998	0.9989	0.9976	5.39	1.99	29	5	3	1	0.9937	0.9989	0	9.235	2.738	29	5	35	5
22	0	0.998	0.9989	0.9976	4.734	1.748	29	5	3	1	0.9938	0.9989	0	9.039	2.695	29	5	35	5
23	0	0.9967	0.9989	0	4.949	1.853	27	5	22	6	0.994	0.9989	0	8.869	2.66	27	5	35	5
24	0	0.9967	0.9989	0	5.316	1.97	27	5	11	4	0.9941	0.9989	0	8.727	2.633	27	5	35	5
25	0	0.9967	0.9989	0	5.275	1.95	27	5	13	6	0.9942	0.9989	0	8.594	2.606	27	5	35	5
26	0	0.998	0.9989	0.9979	4.965	1.829	27	5	3	1	0.9943	0.9989	0	8.46	2.578	27	5	35	5
27	0	0.998	0.9989	0.9979	5.255	1.93	27	5	3	1	0.9944	0.9989	0	8.345	2.554	27	5	35	5
28	0	0.998	0.9989	0.9979	5.744	2.067	27	5	12	6	0.9946	0.9989	0	8.255	2.538	27	5	35	5
29	0	0.998	0.9989	0.9979	6.104	2.156	27	5	4	2	0.9947	0.9989	0	8.184	2.525	27	5	35	5
30	0	0.998	0.9989	0.9979	6.027	2.195	27	5	1	0	0.9948	0.9989	0	8.114	2.514	27	5	35	5
31	0	0.998	0.9989	0.9979	6.168	2.306	27	5	4	2	0.9949	0.9989	0	8.053	2.508	27	5	35	5
32	0	0.9967	0.9989	0	5.789	2.208	27	5	7	3	0.9949	0.9989	0	7.985	2.499	27	5	35	5
33	0	0.998	0.9989	0.9977	5.644	2.112	27	5	4	2	0.995	0.9989	0	7.916	2.487	27	5	35	5
34	0	0.998	0.9989	0.9977	5.848	2.181	27	5	4	2	0.9951	0.9989	0	7.857	2.479	27	5	35	5
35	0	0.9967	0.9989	0	5.826	2.176	27	5	9	3	0.9952	0.9989	0	7.8	2.47	27	5	35	5
36	0	0.998	0.9989	0.9976	5.454	2.086	26	5	8	4	0.9952	0.9989	0	7.737	2.46	26	5	35	5
37	0	0.998	0.9989	0.9956	5.378	2.033	26	5	11	3	0.9953	0.9989	0	7.675	2.449	26	5	35	5
38	0	0.998	0.9989	0.9979	5.723	2.154	26	5	2	1	0.9954	0.9989	0	7.625	2.441	26	5	35	5
39	0	0.998	0.9989	0.9975	5.51	2.125	26	5	4	2	0.9954	0.9989	0	7.572	2.433	26	5	35	5
40	0	0.998	0.9989	0.9979	5.254	2.019	26	5	4	2	0.9955	0.9989	0	7.515	2.423	26	5	35	5
41	0	0.9955	0.9989	0	5.122	2.01	26	5	20	8	0.9955	0.9989	0	7.458	2.413	26	5	35	5
