Timer Name	Value
CPU Time (ns):	47750159070
Wall Time (ms):	15909
CPU Cycles:	61589968152667233
Snapshot #	Snapshot Time(ms)	Value(Bytes)
1	13	227000320
2	1550	239845376
3	2212	244301824
4	2977	249262080
5	3664	254476288
6	4168	259706880
7	6022	263610368
8	6579	269115392
9	7221	273297408
10	7638	278007808
11	7923	281939968
12	9095	285609984
13	9411	289280000
14	9760	293728256
15	10028	297398272
16	10243	300756992
17	11003	305160192
18	11213	308027392
19	11450	311173120
20	11675	316100608
21	11805	320294912
22	12353	323178496
23	12509	326848512
24	12658	329973760
25	12789	333856768
26	12877	336994304
27	13304	340910080
28	13415	343236608
29	13522	346636288
30	13622	350306304
31	13697	355024896
32	14006	358432768
33	14089	361840640
34	14175	366034944
35	14241	368918528
36	14300	372588544
37	14537	376520704
38	14594	380452864
39	14654	384905216
40	14712	387522560
41	14752	391454720
42	14945	394076160
43	14997	397742080
44	15052	400359424
45	15098	402677760
46	15138	405524480
47	15278	408932352
48	15316	411815936
49	15351	413851648
50	15385	417775616
51	15416	419872768
Aggregation Count:	8
Timer Name	Value
CPU Time (ns):	5968769883
Wall Time (ms):	15498
CPU Cycles:	7698746019083404
Snapshot #	Snapshot Time(ms)	Value(Bytes)
1	13	28375040
2	1550	29980672
3	2212	30537728
4	2977	31157760
5	3664	31809536
6	4168	32463360
7	6022	32951296
8	6579	33639424
9	7221	34162176
10	7638	34750976
11	7923	35242496
12	9095	35701248
13	9411	36160000
14	9760	36716032
15	10028	37174784
16	10243	37594624
17	11003	38145024
18	11213	38503424
19	11450	38896640
20	11675	39512576
21	11805	40036864
22	12353	40397312
23	12509	40856064
24	12658	41246720
25	12789	41732096
26	12877	42124288
27	13304	42613760
28	13415	42904576
29	13522	43329536
30	13622	43788288
31	13697	44378112
32	14006	44804096
33	14089	45230080
34	14175	45754368
35	14241	46114816
36	14300	46573568
37	14537	47065088
38	14594	47556608
39	14654	48113152
40	14712	48440320
41	14752	48931840
42	14945	49259520
43	14997	49717760
44	15052	50044928
45	15098	50334720
46	15138	50690560
47	15278	51116544
48	15316	51476992
49	15351	51731456
50	15385	52221952
51	15416	52484096
Hits	Total
2572	2810
Percent Hit:	91.5302%
Fitness
0.998911
Real|Predicted
Cammeo|Cammeo	Cammeo|Osmancik	Osmancik|Osmancik	Osmancik|Cammeo
1037	109	1535	128
GEN#	SUB#	μFGEN	FsBestGEN	FsWorstGEN	μTreeSzGEN	μTreeDpGEN	bTreeSzGEN	bTreeDpGEN	wTreeSzGEN	wTreeDpGEN	μFRUN	FsBestRUN	FsWorstRUN	μTreeSzRUN	μTreeDpRUN	bTreeSzRUN	bTreeDpRUN	wTreeSzRUN	wTreeDpRUN
0	0	0.956563	0.998275	0	17.5196	3.34613	24	4	45	5	0.956563	0.998275	0	17.5196	3.34613	24	4	45	5
1	0	0.989612	0.998438	0	15.5864	3.41	26	4	31	5	0.973088	0.998438	0	16.5531	3.378	26	4	45	5
2	0	0.991562	0.998587	0	15.2801	3.51225	27	5	50	6	0.979237	0.998587	0	16.1288	3.42263	27	5	45	5
3	0	0.992512	0.99865	0	14.4891	3.54163	29	5	25	5	0.98255	0.99865	0	15.7189	3.45275	29	5	45	5
4	0	0.99265	0.998713	0	13.9715	3.5625	32	6	35	6	0.984575	0.998713	0	15.3694	3.4745	32	6	45	5
5	0	0.994375	0.998812	0	13.1781	3.49075	33	6	40	8	0.986225	0.998812	0	15.0042	3.47713	33	6	45	5
6	0	0.994212	0.99885	0	12.5619	3.46725	33	6	38	6	0.987362	0.99885	0	14.6554	3.47575	33	6	45	5
7	0	0.993825	0.99885	0	12.1479	3.42463	37	5	36	7	0.988175	0.99885	0	14.3419	3.4695	37	5	45	5
8	0	0.994775	0.998888	0.365237	11.6048	3.39463	40	6	52	9	0.988913	0.998888	0	14.0376	3.461	40	6	45	5
9	0	0.99545	0.998888	0.1247	10.8411	3.24487	40	6	28	6	0.98955	0.998888	0	13.7181	3.43963	40	6	45	5
10	0	0.995138	0.998888	0.124713	10.4061	3.18213	40	6	22	6	0.990075	0.998888	0	13.4169	3.416	40	6	45	5
11	0	0.994825	0.998888	0	9.80862	3.07513	42	6	29	7	0.99045	0.998888	0	13.1163	3.38738	42	6	45	5
12	0	0.996713	0.9989	0.374175	9.24362	2.94825	41	6	15	5	0.99095	0.9989	0	12.8184	3.35375	41	6	45	5
13	0	0.996237	0.9989	0.374175	8.78037	2.83712	41	6	22	5	0.991337	0.9989	0	12.53	3.31713	41	6	45	5
14	0	0.99655	0.9989	0.498225	8.78888	2.82388	41	6	27	6	0.991675	0.9989	0	12.2805	3.28412	41	6	45	5
