Timer Name	Value
CPU Time (ns):	5710863617
Wall Time (ms):	15909
CPU Cycles:	7698745946723897
Snapshot #	Snapshot Time(ms)	Value(Bytes)
1	6	27262976
2	1480	28835840
3	2538	29360128
4	3561	29884416
5	4283	30408704
6	4680	31191040
7	5849	31170560
8	6434	31694848
9	7246	32481280
10	7723	33005568
11	7989	33267712
12	8712	34054144
13	9028	34578432
14	9394	35102720
15	9675	35364864
16	10010	35627008
17	10839	36413440
18	11066	36675584
19	11294	37199872
20	11507	37986304
21	11690	38248448
22	12267	38510592
23	12399	38772736
24	12505	39297024
25	12633	39772160
26	12750	40034304
27	13178	40296448
28	13247	41082880
29	13342	41336832
30	13463	41598976
31	13563	42647552
32	13873	42909696
33	13962	43433984
34	14057	43696128
35	14155	43958272
36	14208	44744704
37	14446	45268992
38	14519	45531136
39	14563	46055424
40	14624	46579712
41	14668	47104000
42	14822	47628288
43	14854	47890432
44	14920	48152576
45	14959	48414720
46	15012	48414720
47	15166	48676864
48	15206	49201152
49	15235	49463296
50	15274	49987584
51	15307	50511872
Aggregation Count:	1
Timer Name	Value
CPU Time (ns):	5710863617
Wall Time (ms):	15394
CPU Cycles:	7698745946723897
Snapshot #	Snapshot Time(ms)	Value(Bytes)
1	6	27262976
2	1480	28835840
3	2538	29360128
4	3561	29884416
5	4283	30408704
6	4680	31191040
7	5849	31170560
8	6434	31694848
9	7246	32481280
10	7723	33005568
11	7989	33267712
12	8712	34054144
13	9028	34578432
14	9394	35102720
15	9675	35364864
16	10010	35627008
17	10839	36413440
18	11066	36675584
19	11294	37199872
20	11507	37986304
21	11690	38248448
22	12267	38510592
23	12399	38772736
24	12505	39297024
25	12633	39772160
26	12750	40034304
27	13178	40296448
28	13247	41082880
29	13342	41336832
30	13463	41598976
31	13563	42647552
32	13873	42909696
33	13962	43433984
34	14057	43696128
35	14155	43958272
36	14208	44744704
37	14446	45268992
38	14519	45531136
39	14563	46055424
40	14624	46579712
41	14668	47104000
42	14822	47628288
43	14854	47890432
44	14920	48152576
45	14959	48414720
46	15012	48414720
47	15166	48676864
48	15206	49201152
49	15235	49463296
50	15274	49987584
51	15307	50511872
Hits	Total
2601	2810
Percent Hit:	92.5623%
Fitness
0.998896
Real|Predicted
Cammeo|Cammeo	Cammeo|Osmancik	Osmancik|Osmancik	Osmancik|Cammeo
1061	124	1540	85
GEN#	SUB#	μFGEN	FsBestGEN	FsWorstGEN	μTreeSzGEN	μTreeDpGEN	bTreeSzGEN	bTreeDpGEN	wTreeSzGEN	wTreeDpGEN	μFRUN	FsBestRUN	FsWorstRUN	μTreeSzRUN	μTreeDpRUN	bTreeSzRUN	bTreeDpRUN	wTreeSzRUN	wTreeDpRUN
0	0	0.956	0.9983	0	17.745	3.335	73	6	49	6	0.956	0.9983	0	17.745	3.335	73	6	49	6
1	0	0.9897	0.9988	0	15.976	3.369	72	6	89	7	0.9729	0.9988	0	16.861	3.352	72	6	49	6
2	0	0.9916	0.9988	0	15.328	3.461	72	6	14	4	0.9791	0.9988	0	16.35	3.388	72	6	49	6
3	0	0.9966	0.9988	0	14.402	3.361	72	6	79	8	0.9835	0.9988	0	15.863	3.382	72	6	49	6
4	0	0.9916	0.9988	0	13.901	3.381	72	6	5	2	0.9851	0.9988	0	15.47	3.381	72	6	49	6
5	0	0.9966	0.9988	0	13.489	3.404	72	6	10	4	0.987	0.9988	0	15.14	3.385	72	6	49	6
6	0	0.9929	0.9988	0	12.346	3.331	72	6	21	4	0.9879	0.9988	0	14.741	3.377	72	6	49	6
7	0	0.9899	0.9988	0	11.838	3.259	72	6	19	6	0.9881	0.9988	0	14.378	3.363	72	6	49	6
8	0	0.9949	0.9988	0	10.829	3.225	72	6	34	9	0.9889	0.9988	0	13.984	3.347	72	6	49	6
9	0	0.9941	0.9988	0	10.21	3.083	72	6	7	3	0.9894	0.9988	0	13.606	3.321	72	6	49	6
10	0	0.9916	0.9988	0	9.575	2.986	72	6	82	9	0.9896	0.9988	0	13.24	3.29	72	6	49	6
11	0	0.9953	0.9988	0	9.551	2.978	72	6	41	7	0.9901	0.9988	0	12.932	3.264	72	6	49	6
12	0	0.9966	0.9989	0	8.74	2.784	71	6	21	7	0.9906	0.9989	0	12.61	3.227	71	6	49	6
13	0	0.9941	0.9989	0	8.63	2.746	71	6	65	9	0.9908	0.9989	0	12.326	3.193	71	6	49	6
14	0	0.9978	0.9989	0.9926	8.076	2.704	71	6	65	6	0.9913	0.9989	0	12.042	3.16	71	6	49	6
15	0	0.9978	0.9989	0.9926	7.49	2.467	71	6	65	9	0.9917	0.9989	0	11.758	3.117	71	6	49	6
16	0	0.9978	0.9989	0.9918	7.084	2.356	71	6	60	6	0.9921	0.9989	0	11.483	3.072	71	6	49	6
17	0	0.9966	0.9989	0	6.984	2.4	71	6	56	6	0.9923	0.9989	0	11.233	3.035	71	6	49	6
18	0	0.9978	0.9989	0.9918	6.383	2.26	71	6	56	6	0.9926	0.9989	0	10.978	2.994	71	6	49	6
19	0	0.9966	0.9989	0	6	2.139	71	6	13	5	0.9928	0.9989	0	10.729	2.951	71	6	49	6
20	0	0.9966	0.9989	0	5.987	2.104	71	6	69	9	0.993	0.9989	0	10.503	2.911	71	6	49	6
21	0	0.9954	0.9989	0	5.811	2.038	71	6	5	2	0.9931	0.9989	0	10.29	2.871	71	6	49	6
22	0	0.9953	0.9989	0	5.628	1.951	71	6	67	9	0.9932	0.9989	0	10.087	2.831	71	6	49	6
23	0	0.9966	0.9989	0	6.139	2.014	71	6	61	7	0.9933	0.9989	0	9.923	2.797	71	6	49	6
24	0	0.9966	0.9989	0	6.151	1.945	71	6	70	8	0.9935	0.9989	0	9.772	2.763	71	6	49	6
25	0	0.9979	0.9989	0.9977	5.806	1.886	71	6	7	3	0.9936	0.9989	0	9.619	2.729	71	6	49	6
26	0	0.9979	0.9989	0.9978	6.305	1.995	71	6	7	3	0.9938	0.9989	0	9.496	2.702	71	6	49	6
27	0	0.9941	0.9989	0	6.526	1.996	22	6	12	4	0.9938	0.9989	0	9.39	2.677	22	6	49	6
28	0	0.9954	0.9989	0	6.14	1.978	22	6	58	8	0.9939	0.9989	0	9.278	2.653	22	6	49	6
29	0	0.9978	0.9989	0.9978	6.008	1.974	22	6	7	3	0.994	0.9989	0	9.169	2.63	22	6	49	6
30	0	0.9978	0.9989	0.9978	6.146	2.002	22	6	4	2	0.9941	0.9989	0	9.072	2.61	22	6	49	6
31	0	0.9966	0.9989	0	6.588	2.079	22	6	27	8	0.9942	0.9989	0	8.994	2.593	22	6	49	6
32	0	0.9978	0.9989	0.9918	6.121	1.991	22	6	20	5	0.9943	0.9989	0	8.907	2.575	22	6	49	6
33	0	0.9978	0.9989	0.9978	5.925	1.924	22	6	3	1	0.9944	0.9989	0	8.819	2.556	22	6	49	6
34	0	0.9966	0.9989	0	5.744	1.886	22	6	16	5	0.9945	0.9989	0	8.731	2.537	22	6	49	6
35	0	0.9978	0.9989	0.9975	5.774	1.924	22	6	8	3	0.9946	0.9989	0	8.649	2.52	22	6	49	6
36	0	0.9966	0.9989	0	5.68	1.919	22	6	8	4	0.9946	0.9989	0	8.569	2.504	22	6	49	6
37	0	0.9941	0.9989	0	5.327	1.904	22	6	27	6	0.9946	0.9989	0	8.484	2.488	22	6	49	6
38	0	0.9978	0.9989	0.9978	5.15	1.885	22	6	4	2	0.9947	0.9989	0	8.398	2.472	22	6	49	6
39	0	0.9978	0.9989	0.9978	5.22	1.933	22	6	1	0	0.9948	0.9989	0	8.319	2.459	22	6	49	6
40	0	0.9978	0.9989	0.9977	5.107	1.883	22	6	20	8	0.9948	0.9989	0	8.24	2.445	22	6	49	6
41	0	0.9966	0.9989	0	5.059	1.907	22	6	10	4	0.9949	0.9989	0	8.165	2.432	22	6	49	6
42	0	0.9966	0.9989	0	5.194	1.948	22	6	13	5	0.9949	0.9989	0	8.096	2.421	22	6	49	6
43	0	0.9978	0.9989	0.9978	5.051	1.94	22	6	2	1	0.995	0.9989	0	8.026	2.41	22	6	49	6
44	0	0.9979	0.9989	0.9978	5.12	1.986	22	6	1	0	0.9951	0.9989	0	7.962	2.4	22	6	49	6
